INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",21.8,Gujarat
 Men age 25-29 years married before age 21 years (%),"
21.*
22",27.7,Gujarat
 Total fertility rate (children per woman),"
22.*
23",1.9,Gujarat
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",5.2,Gujarat
 Infant mortality rate (IMR),"
26.*
27",31.2,Gujarat
 Under five mortality rate (U5MR),"
27.*
",37.6,Gujarat
 Any modern method (%),"
29.*
30",53.6,Gujarat
 Female sterilization (%),"
30.*
31",35.9,Gujarat
 Male sterilization (%),"
31.*
32",0.2,Gujarat
 Total unmet need (%),"
36.*
37",10.3,Gujarat
 Unmet need for spacing (%),"
37.*
",4.5,Gujarat
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",76.9,Gujarat
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",1697.0,Gujarat
 Institutional births (%),"
50.*
51",94.3,Gujarat
 Births delivered by caesarean section (%),"
51.*
52",43.3,Gujarat
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",76.3,Gujarat
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",92.1,Gujarat
 Children under age 6 months exclusively breastfed (%),"
76.*
77",65.0,Gujarat
 Children under 5 years who are stunted (heightforage),"
81.*
82",39.0,Gujarat
 Children under 5 years who are wasted (weightforheight),"
82.*
83",25.1,Gujarat
 Children under 3 years who are underweight (%),"
84.*
85",39.7,Gujarat
 Women who are overweight or obese (%),"
88.*
89",22.6,Gujarat
 Men who are overweight or obese (%),"
89.*
90",19.9,Gujarat
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",62.6,Gujarat
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.2,Gujarat
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",30.8,Gujarat
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",42.6,Gujarat
 Women having a bank or savings account that they themselves use (%),"
122.*
123",70.0,Gujarat
 Women having a mobile phone that they themselves use (%),"
123.*
124",48.8,Gujarat
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",65.8,Gujarat
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",14.0,Gujarat
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",3.6,Gujarat
 Women who use any kind of tobacco (%),"
128.*
129",8.7,Gujarat
 Men who use any kind of tobacco (%),"
129.*
130",41.1,Gujarat
 Women who consume alcohol (%),"
130.*
131",0.6,Gujarat
 Men who consume alcohol (%),"
131.*
24",5.8,Gujarat
