INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",4.5,Jammu_Kashmir
 Men age 25-29 years married before age 21 years (%),"
21.*
22",8.5,Jammu_Kashmir
 Total fertility rate (children per woman),"
22.*
23",1.4,Jammu_Kashmir
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",1.0,Jammu_Kashmir
 Infant mortality rate (IMR),"
26.*
27",16.3,Jammu_Kashmir
 Under five mortality rate (U5MR),"
27.*
",18.5,Jammu_Kashmir
 Any modern method (%),"
29.*
30",52.5,Jammu_Kashmir
 Female sterilization (%),"
30.*
31",21.1,Jammu_Kashmir
 Male sterilization (%),"
31.*
32",0.3,Jammu_Kashmir
 Total unmet need (%),"
36.*
37",7.8,Jammu_Kashmir
 Unmet need for spacing (%),"
37.*
",3.9,Jammu_Kashmir
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",80.9,Jammu_Kashmir
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",5145.0,Jammu_Kashmir
 Institutional births (%),"
50.*
51",92.4,Jammu_Kashmir
 Births delivered by caesarean section (%),"
51.*
52",86.8,Jammu_Kashmir
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",86.2,Jammu_Kashmir
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",99.1,Jammu_Kashmir
 Children under age 6 months exclusively breastfed (%),"
76.*
77",62.0,Jammu_Kashmir
 Children under 5 years who are stunted (heightforage),"
81.*
82",26.9,Jammu_Kashmir
 Children under 5 years who are wasted (weightforheight),"
82.*
83",19.0,Jammu_Kashmir
 Children under 3 years who are underweight (%),"
84.*
85",21.0,Jammu_Kashmir
 Women who are overweight or obese (%),"
88.*
89",29.3,Jammu_Kashmir
 Men who are overweight or obese (%),"
89.*
90",31.6,Jammu_Kashmir
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",44.1,Jammu_Kashmir
 Currently married women who usually participate in three household decisions (%),"
119.*
120",81.6,Jammu_Kashmir
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",18.4,Jammu_Kashmir
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",57.3,Jammu_Kashmir
 Women having a bank or savings account that they themselves use (%),"
122.*
123",84.9,Jammu_Kashmir
 Women having a mobile phone that they themselves use (%),"
123.*
124",75.2,Jammu_Kashmir
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",73.4,Jammu_Kashmir
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",9.6,Jammu_Kashmir
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",4.0,Jammu_Kashmir
 Women who use any kind of tobacco (%),"
128.*
129",3.6,Jammu_Kashmir
 Men who use any kind of tobacco (%),"
129.*
130",38.3,Jammu_Kashmir
 Women who consume alcohol (%),"
130.*
131",0.2,Jammu_Kashmir
 Men who consume alcohol (%),"
131.*
24",8.8,Jammu_Kashmir
