INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",21.3,Karnataka
 Men age 25-29 years married before age 21 years (%),"
21.*
22",6.1,Karnataka
 Total fertility rate (children per woman),"
22.*
23",1.7,Karnataka
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",5.4,Karnataka
 Infant mortality rate (IMR),"
26.*
27",25.4,Karnataka
 Under five mortality rate (U5MR),"
27.*
",29.5,Karnataka
 Any modern method (%),"
29.*
30",68.2,Karnataka
 Female sterilization (%),"
30.*
31",57.4,Karnataka
 Male sterilization (%),"
31.*
32",0.0,Karnataka
 Total unmet need (%),"
36.*
37",6.5,Karnataka
 Unmet need for spacing (%),"
37.*
",3.8,Karnataka
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",70.9,Karnataka
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",4954.0,Karnataka
 Institutional births (%),"
50.*
51",97.0,Karnataka
 Births delivered by caesarean section (%),"
51.*
52",64.8,Karnataka
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",84.1,Karnataka
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",91.7,Karnataka
 Children under age 6 months exclusively breastfed (%),"
76.*
77",61.0,Karnataka
 Children under 5 years who are stunted (heightforage),"
81.*
82",35.4,Karnataka
 Children under 5 years who are wasted (weightforheight),"
82.*
83",19.5,Karnataka
 Children under 3 years who are underweight (%),"
84.*
85",32.9,Karnataka
 Women who are overweight or obese (%),"
88.*
89",30.1,Karnataka
 Men who are overweight or obese (%),"
89.*
90",30.9,Karnataka
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",45.7,Karnataka
 Currently married women who usually participate in three household decisions (%),"
119.*
120",82.7,Karnataka
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",37.0,Karnataka
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",67.6,Karnataka
 Women having a bank or savings account that they themselves use (%),"
122.*
123",88.7,Karnataka
 Women having a mobile phone that they themselves use (%),"
123.*
124",61.8,Karnataka
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",84.2,Karnataka
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",44.4,Karnataka
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",11.0,Karnataka
 Women who use any kind of tobacco (%),"
128.*
129",8.5,Karnataka
 Men who use any kind of tobacco (%),"
129.*
130",27.1,Karnataka
 Women who consume alcohol (%),"
130.*
131",0.9,Karnataka
 Men who consume alcohol (%),"
131.*
24",16.5,Karnataka
