INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",6.3,Kerala
 Men age 25-29 years married before age 21 years (%),"
21.*
22",1.4,Kerala
 Total fertility rate (children per woman),"
22.*
23",1.8,Kerala
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",2.4,Kerala
 Infant mortality rate (IMR),"
26.*
27",4.4,Kerala
 Under five mortality rate (U5MR),"
27.*
",5.2,Kerala
 Any modern method (%),"
29.*
30",52.8,Kerala
 Female sterilization (%),"
30.*
31",46.6,Kerala
 Male sterilization (%),"
31.*
32",0.1,Kerala
 Total unmet need (%),"
36.*
37",12.5,Kerala
 Unmet need for spacing (%),"
37.*
",7.0,Kerala
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",78.6,Kerala
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",6710.0,Kerala
 Institutional births (%),"
50.*
51",99.8,Kerala
 Births delivered by caesarean section (%),"
51.*
52",34.1,Kerala
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",77.8,Kerala
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",87.3,Kerala
 Children under age 6 months exclusively breastfed (%),"
76.*
77",55.5,Kerala
 Children under 5 years who are stunted (heightforage),"
81.*
82",23.4,Kerala
 Children under 5 years who are wasted (weightforheight),"
82.*
83",15.8,Kerala
 Children under 3 years who are underweight (%),"
84.*
85",19.7,Kerala
 Women who are overweight or obese (%),"
88.*
89",38.1,Kerala
 Men who are overweight or obese (%),"
89.*
90",36.4,Kerala
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",31.4,Kerala
 Currently married women who usually participate in three household decisions (%),"
119.*
120",94.1,Kerala
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",25.8,Kerala
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",27.3,Kerala
 Women having a bank or savings account that they themselves use (%),"
122.*
123",78.5,Kerala
 Women having a mobile phone that they themselves use (%),"
123.*
124",86.6,Kerala
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",93.0,Kerala
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",9.9,Kerala
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",1.6,Kerala
 Women who use any kind of tobacco (%),"
128.*
129",2.2,Kerala
 Men who use any kind of tobacco (%),"
129.*
130",16.9,Kerala
 Women who consume alcohol (%),"
130.*
131",0.2,Kerala
 Men who consume alcohol (%),"
131.*
24",19.9,Kerala
