INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",2.5,Ladakh
 Men age 25-29 years married before age 21 years (%),"
21.*
22",20.2,Ladakh
 Total fertility rate (children per woman),"
22.*
23",1.3,Ladakh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",0.0,Ladakh
 Infant mortality rate (IMR),"
26.*
27",20.0,Ladakh
 Under five mortality rate (U5MR),"
27.*
",29.5,Ladakh
 Any modern method (%),"
29.*
30",48.0,Ladakh
 Female sterilization (%),"
30.*
31",16.7,Ladakh
 Male sterilization (%),"
31.*
32",0.4,Ladakh
 Total unmet need (%),"
36.*
37",7.9,Ladakh
 Unmet need for spacing (%),"
37.*
",4.0,Ladakh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",78.4,Ladakh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3807.0,Ladakh
 Institutional births (%),"
50.*
51",95.1,Ladakh
 Births delivered by caesarean section (%),"
51.*
52",94.7,Ladakh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",88.2,Ladakh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",100.0,Ladakh
 Children under age 6 months exclusively breastfed (%),"
76.*
77",70.9,Ladakh
 Children under 5 years who are stunted (heightforage),"
81.*
82",30.5,Ladakh
 Children under 5 years who are wasted (weightforheight),"
82.*
83",17.5,Ladakh
 Children under 3 years who are underweight (%),"
84.*
85",20.4,Ladakh
 Women who are overweight or obese (%),"
88.*
89",28.3,Ladakh
 Men who are overweight or obese (%),"
89.*
90",37.8,Ladakh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",78.1,Ladakh
 Currently married women who usually participate in three household decisions (%),"
119.*
120",80.4,Ladakh
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",28.3,Ladakh
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",72.2,Ladakh
 Women having a bank or savings account that they themselves use (%),"
122.*
123",88.4,Ladakh
 Women having a mobile phone that they themselves use (%),"
123.*
124",81.2,Ladakh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",78.2,Ladakh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",18.1,Ladakh
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",8.7,Ladakh
 Women who use any kind of tobacco (%),"
128.*
129",3.2,Ladakh
 Men who use any kind of tobacco (%),"
129.*
130",35.7,Ladakh
 Women who consume alcohol (%),"
130.*
131",3.8,Ladakh
 Men who consume alcohol (%),"
131.*
24",23.6,Ladakh
