INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",8.0,Mizoram
 Men age 25-29 years married before age 21 years (%),"
21.*
22",11.0,Mizoram
 Total fertility rate (children per woman),"
22.*
23",1.9,Mizoram
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",4.1,Mizoram
 Infant mortality rate (IMR),"
26.*
27",21.3,Mizoram
 Under five mortality rate (U5MR),"
27.*
",24.0,Mizoram
 Any modern method (%),"
29.*
30",30.8,Mizoram
 Female sterilization (%),"
30.*
31",13.0,Mizoram
 Male sterilization (%),"
31.*
32",0.0,Mizoram
 Total unmet need (%),"
36.*
37",18.9,Mizoram
 Unmet need for spacing (%),"
37.*
",12.8,Mizoram
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",58.0,Mizoram
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",7008.0,Mizoram
 Institutional births (%),"
50.*
51",85.8,Mizoram
 Births delivered by caesarean section (%),"
51.*
52",73.8,Mizoram
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",72.5,Mizoram
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",96.9,Mizoram
 Children under age 6 months exclusively breastfed (%),"
76.*
77",67.9,Mizoram
 Children under 5 years who are stunted (heightforage),"
81.*
82",28.9,Mizoram
 Children under 5 years who are wasted (weightforheight),"
82.*
83",9.8,Mizoram
 Children under 3 years who are underweight (%),"
84.*
85",12.7,Mizoram
 Women who are overweight or obese (%),"
88.*
89",24.2,Mizoram
 Men who are overweight or obese (%),"
89.*
90",31.9,Mizoram
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",34.0,Mizoram
 Currently married women who usually participate in three household decisions (%),"
119.*
120",98.8,Mizoram
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",29.2,Mizoram
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",20.8,Mizoram
 Women having a bank or savings account that they themselves use (%),"
122.*
123",80.7,Mizoram
 Women having a mobile phone that they themselves use (%),"
123.*
124",82.3,Mizoram
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",89.8,Mizoram
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",10.9,Mizoram
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",2.0,Mizoram
 Women who use any kind of tobacco (%),"
128.*
129",61.6,Mizoram
 Men who use any kind of tobacco (%),"
129.*
130",72.9,Mizoram
 Women who consume alcohol (%),"
130.*
131",0.9,Mizoram
 Men who consume alcohol (%),"
131.*
24",23.8,Mizoram
