INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",5.6,Nagaland
 Men age 25-29 years married before age 21 years (%),"
21.*
22",5.0,Nagaland
 Total fertility rate (children per woman),"
22.*
23",1.7,Nagaland
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.8,Nagaland
 Infant mortality rate (IMR),"
26.*
27",23.4,Nagaland
 Under five mortality rate (U5MR),"
27.*
",33.0,Nagaland
 Any modern method (%),"
29.*
30",45.3,Nagaland
 Female sterilization (%),"
30.*
31",14.4,Nagaland
 Male sterilization (%),"
31.*
32",0.0,Nagaland
 Total unmet need (%),"
36.*
37",9.1,Nagaland
 Unmet need for spacing (%),"
37.*
",4.5,Nagaland
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",20.7,Nagaland
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",5778.0,Nagaland
 Institutional births (%),"
50.*
51",45.7,Nagaland
 Births delivered by caesarean section (%),"
51.*
52",35.8,Nagaland
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",57.9,Nagaland
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",93.2,Nagaland
 Children under age 6 months exclusively breastfed (%),"
76.*
77",43.2,Nagaland
 Children under 5 years who are stunted (heightforage),"
81.*
82",32.7,Nagaland
 Children under 5 years who are wasted (weightforheight),"
82.*
83",19.1,Nagaland
 Children under 3 years who are underweight (%),"
84.*
85",26.9,Nagaland
 Women who are overweight or obese (%),"
88.*
89",14.4,Nagaland
 Men who are overweight or obese (%),"
89.*
90",23.9,Nagaland
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",22.2,Nagaland
 Currently married women who usually participate in three household decisions (%),"
119.*
120",99.2,Nagaland
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",23.6,Nagaland
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",26.9,Nagaland
 Women having a bank or savings account that they themselves use (%),"
122.*
123",63.7,Nagaland
 Women having a mobile phone that they themselves use (%),"
123.*
124",82.5,Nagaland
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",80.2,Nagaland
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",6.4,Nagaland
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",1.6,Nagaland
 Women who use any kind of tobacco (%),"
128.*
129",13.7,Nagaland
 Men who use any kind of tobacco (%),"
129.*
130",48.4,Nagaland
 Women who consume alcohol (%),"
130.*
131",0.9,Nagaland
 Men who consume alcohol (%),"
131.*
24",24.0,Nagaland
