INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",20.5,Odisha
 Men age 25-29 years married before age 21 years (%),"
21.*
22",13.3,Odisha
 Total fertility rate (children per woman),"
22.*
23",1.8,Odisha
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",7.6,Odisha
 Infant mortality rate (IMR),"
26.*
27",36.3,Odisha
 Under five mortality rate (U5MR),"
27.*
",41.1,Odisha
 Any modern method (%),"
29.*
30",48.8,Odisha
 Female sterilization (%),"
30.*
31",28.0,Odisha
 Male sterilization (%),"
31.*
32",0.3,Odisha
 Total unmet need (%),"
36.*
37",7.2,Odisha
 Unmet need for spacing (%),"
37.*
",2.5,Odisha
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",78.1,Odisha
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",4139.0,Odisha
 Institutional births (%),"
50.*
51",92.2,Odisha
 Births delivered by caesarean section (%),"
51.*
52",78.7,Odisha
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",90.5,Odisha
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",98.1,Odisha
 Children under age 6 months exclusively breastfed (%),"
76.*
77",72.9,Odisha
 Children under 5 years who are stunted (heightforage),"
81.*
82",31.0,Odisha
 Children under 5 years who are wasted (weightforheight),"
82.*
83",18.1,Odisha
 Children under 3 years who are underweight (%),"
84.*
85",29.7,Odisha
 Women who are overweight or obese (%),"
88.*
89",23.0,Odisha
 Men who are overweight or obese (%),"
89.*
90",22.2,Odisha
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",61.8,Odisha
 Currently married women who usually participate in three household decisions (%),"
119.*
120",90.2,Odisha
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",25.7,Odisha
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",43.5,Odisha
 Women having a bank or savings account that they themselves use (%),"
122.*
123",86.5,Odisha
 Women having a mobile phone that they themselves use (%),"
123.*
124",50.1,Odisha
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",81.5,Odisha
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",30.6,Odisha
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.8,Odisha
 Women who use any kind of tobacco (%),"
128.*
129",26.0,Odisha
 Men who use any kind of tobacco (%),"
129.*
130",51.6,Odisha
 Women who consume alcohol (%),"
130.*
131",4.3,Odisha
 Men who consume alcohol (%),"
131.*
24",28.8,Odisha
