INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",25.4,Rajasthan
 Men age 25-29 years married before age 21 years (%),"
21.*
22",28.2,Rajasthan
 Total fertility rate (children per woman),"
22.*
23",2.0,Rajasthan
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.7,Rajasthan
 Infant mortality rate (IMR),"
26.*
27",30.3,Rajasthan
 Under five mortality rate (U5MR),"
27.*
",37.6,Rajasthan
 Any modern method (%),"
29.*
30",62.1,Rajasthan
 Female sterilization (%),"
30.*
31",42.4,Rajasthan
 Male sterilization (%),"
31.*
32",0.3,Rajasthan
 Total unmet need (%),"
36.*
37",7.6,Rajasthan
 Unmet need for spacing (%),"
37.*
",3.7,Rajasthan
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",55.3,Rajasthan
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2102.0,Rajasthan
 Institutional births (%),"
50.*
51",94.9,Rajasthan
 Births delivered by caesarean section (%),"
51.*
52",77.0,Rajasthan
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",80.4,Rajasthan
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",98.0,Rajasthan
 Children under age 6 months exclusively breastfed (%),"
76.*
77",70.4,Rajasthan
 Children under 5 years who are stunted (heightforage),"
81.*
82",31.8,Rajasthan
 Children under 5 years who are wasted (weightforheight),"
82.*
83",16.8,Rajasthan
 Children under 3 years who are underweight (%),"
84.*
85",27.6,Rajasthan
 Women who are overweight or obese (%),"
88.*
89",12.9,Rajasthan
 Men who are overweight or obese (%),"
89.*
90",15.0,Rajasthan
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",46.3,Rajasthan
 Currently married women who usually participate in three household decisions (%),"
119.*
120",87.7,Rajasthan
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",17.4,Rajasthan
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",26.6,Rajasthan
 Women having a bank or savings account that they themselves use (%),"
122.*
123",79.6,Rajasthan
 Women having a mobile phone that they themselves use (%),"
123.*
124",50.2,Rajasthan
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",84.1,Rajasthan
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",24.3,Rajasthan
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.9,Rajasthan
 Women who use any kind of tobacco (%),"
128.*
129",6.9,Rajasthan
 Men who use any kind of tobacco (%),"
129.*
130",42.0,Rajasthan
 Women who consume alcohol (%),"
130.*
131",0.3,Rajasthan
 Men who consume alcohol (%),"
131.*
24",11.0,Rajasthan
