INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",10.8,Sikkim
 Men age 25-29 years married before age 21 years (%),"
21.*
22",5.1,Sikkim
 Total fertility rate (children per woman),"
22.*
23",1.1,Sikkim
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.1,Sikkim
 Infant mortality rate (IMR),"
26.*
27",11.2,Sikkim
 Under five mortality rate (U5MR),"
27.*
",11.2,Sikkim
 Any modern method (%),"
29.*
30",54.9,Sikkim
 Female sterilization (%),"
30.*
31",14.5,Sikkim
 Male sterilization (%),"
31.*
32",1.7,Sikkim
 Total unmet need (%),"
36.*
37",11.9,Sikkim
 Unmet need for spacing (%),"
37.*
",4.9,Sikkim
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",58.4,Sikkim
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",8334.0,Sikkim
 Institutional births (%),"
50.*
51",94.7,Sikkim
 Births delivered by caesarean section (%),"
51.*
52",78.6,Sikkim
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",80.6,Sikkim
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",100.0,Sikkim
 Children under age 6 months exclusively breastfed (%),"
76.*
77",28.3,Sikkim
 Children under 5 years who are stunted (heightforage),"
81.*
82",22.3,Sikkim
 Children under 5 years who are wasted (weightforheight),"
82.*
83",13.7,Sikkim
 Children under 3 years who are underweight (%),"
84.*
85",13.1,Sikkim
 Women who are overweight or obese (%),"
88.*
89",34.7,Sikkim
 Men who are overweight or obese (%),"
89.*
90",36.3,Sikkim
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",40.7,Sikkim
 Currently married women who usually participate in three household decisions (%),"
119.*
120",89.7,Sikkim
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",32.7,Sikkim
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",53.1,Sikkim
 Women having a bank or savings account that they themselves use (%),"
122.*
123",76.4,Sikkim
 Women having a mobile phone that they themselves use (%),"
123.*
124",88.6,Sikkim
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",86.3,Sikkim
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",12.1,Sikkim
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",3.2,Sikkim
 Women who use any kind of tobacco (%),"
128.*
129",11.7,Sikkim
 Men who use any kind of tobacco (%),"
129.*
130",41.3,Sikkim
 Women who consume alcohol (%),"
130.*
131",16.2,Sikkim
 Men who consume alcohol (%),"
131.*
24",39.8,Sikkim
