INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",12.8,Tamil_Nadu
 Men age 25-29 years married before age 21 years (%),"
21.*
22",4.5,Tamil_Nadu
 Total fertility rate (children per woman),"
22.*
23",1.8,Tamil_Nadu
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",6.3,Tamil_Nadu
 Infant mortality rate (IMR),"
26.*
27",18.6,Tamil_Nadu
 Under five mortality rate (U5MR),"
27.*
",22.3,Tamil_Nadu
 Any modern method (%),"
29.*
30",65.5,Tamil_Nadu
 Female sterilization (%),"
30.*
31",57.8,Tamil_Nadu
 Male sterilization (%),"
31.*
32",0.1,Tamil_Nadu
 Total unmet need (%),"
36.*
37",7.5,Tamil_Nadu
 Unmet need for spacing (%),"
37.*
",3.0,Tamil_Nadu
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",89.9,Tamil_Nadu
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3316.0,Tamil_Nadu
 Institutional births (%),"
50.*
51",99.6,Tamil_Nadu
 Births delivered by caesarean section (%),"
51.*
52",66.9,Tamil_Nadu
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",89.2,Tamil_Nadu
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",89.8,Tamil_Nadu
 Children under age 6 months exclusively breastfed (%),"
76.*
77",55.1,Tamil_Nadu
 Children under 5 years who are stunted (heightforage),"
81.*
82",25.0,Tamil_Nadu
 Children under 5 years who are wasted (weightforheight),"
82.*
83",14.6,Tamil_Nadu
 Children under 3 years who are underweight (%),"
84.*
85",22.0,Tamil_Nadu
 Women who are overweight or obese (%),"
88.*
89",40.4,Tamil_Nadu
 Men who are overweight or obese (%),"
89.*
90",37.0,Tamil_Nadu
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",48.3,Tamil_Nadu
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.8,Tamil_Nadu
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",40.8,Tamil_Nadu
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",47.9,Tamil_Nadu
 Women having a bank or savings account that they themselves use (%),"
122.*
123",92.2,Tamil_Nadu
 Women having a mobile phone that they themselves use (%),"
123.*
124",74.6,Tamil_Nadu
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",98.3,Tamil_Nadu
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",38.1,Tamil_Nadu
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.0,Tamil_Nadu
 Women who use any kind of tobacco (%),"
128.*
129",4.9,Tamil_Nadu
 Men who use any kind of tobacco (%),"
129.*
130",20.1,Tamil_Nadu
 Women who consume alcohol (%),"
130.*
131",0.3,Tamil_Nadu
 Men who consume alcohol (%),"
131.*
24",25.4,Tamil_Nadu
