INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),44.4,40.7,38.6,Assam
 Men age 25-29 years married before age 21 years (%),,,15.7,Assam
 Total fertility rate (children per woman),3.5,2.3,2.4,Assam
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,16.4,Assam
 Infant mortality rate (IMR),,,,Assam
 Under five mortality rate (U5MR),,,,Assam
 Any modern method (%),19.9,26.6,27.0,Assam
 Female sterilization (%),12.2,15.7,13.0,Assam
 Male sterilization (%),2.4,1.0,0.2,Assam
 Total unmet need (%),21.7,17.0,10.5,Assam
 Unmet need for spacing (%),11.0,7.0,3.5,Assam
 Mothers who had at least 3 antenatal care visits for their last birth (%),24.9,30.9,36.3,Assam
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Assam
 Institutional births (%),11.7,17.6,222.9,Assam
 Births delivered by caesarean section (%),,,,Assam
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",19.4,17.0,31.4,Assam
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Assam
 Children under age 6 months exclusively breastfed (%),,,63.1,Assam
 Children under 5 years who are stunted (heightforage),56.4,54.0,41.1,Assam
 Children under 5 years who are wasted (weightforheight),14.0,19.0,16.7,Assam
 Children under 3 years who are underweight (%),44.1,35.3,35.8,Assam
 Women who are overweight or obese (%),,4.2,9.0,Assam
 Men who are overweight or obese (%),,18.3,,Assam
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),62.3,70.4,,Assam
 Currently married women who usually participate in three household decisions (%),,,60.9,Assam
 Women who worked in the last 12 months and were paid in cash (%),,,,Assam
 Women owning a house and/or land (alone or jointly with others) (%),,,,Assam
 Women having a bank or savings account that they themselves use (%),,,,Assam
 Women having a mobile phone that they themselves use (%),,,,Assam
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Assam
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,39.5,Assam
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Assam
 Women who use any kind of tobacco (%),,,,Assam
 Men who use any kind of tobacco (%),,,,Assam
 Women who consume alcohol (%),,,,Assam
 Men who consume alcohol (%),,,,Assam
