INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,61.3,55.0,Chhattisgarh
 Men age 25-29 years married before age 21 years (%),,,44.8,Chhattisgarh
 Total fertility rate (children per woman),,2.8,2.6,Chhattisgarh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,14.6,Chhattisgarh
 Infant mortality rate (IMR),,,,Chhattisgarh
 Under five mortality rate (U5MR),,,,Chhattisgarh
 Any modern method (%),,42.3,49.1,Chhattisgarh
 Female sterilization (%),,35.1,40.7,Chhattisgarh
 Male sterilization (%),,3.3,3.3,Chhattisgarh
 Total unmet need (%),,13.5,10.1,Chhattisgarh
 Unmet need for spacing (%),,8.0,5.3,Chhattisgarh
 Mothers who had at least 3 antenatal care visits for their last birth (%),,33.2,54.7,Chhattisgarh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Chhattisgarh
 Institutional births (%),,13.8,15.7,Chhattisgarh
 Births delivered by caesarean section (%),,,,Chhattisgarh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,21.8,48.7,Chhattisgarh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Chhattisgarh
 Children under age 6 months exclusively breastfed (%),,,82.0,Chhattisgarh
 Children under 5 years who are stunted (heightforage),,60.8,52.6,Chhattisgarh
 Children under 5 years who are wasted (weightforheight),,24.8,24.1,Chhattisgarh
 Children under 3 years who are underweight (%),,53.2,47.8,Chhattisgarh
 Women who are overweight or obese (%),,4.1,6.7,Chhattisgarh
 Men who are overweight or obese (%),,18.6,,Chhattisgarh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,68.3,63.1,Chhattisgarh
 Currently married women who usually participate in three household decisions (%),,,26.8,Chhattisgarh
 Women who worked in the last 12 months and were paid in cash (%),,,,Chhattisgarh
 Women owning a house and/or land (alone or jointly with others) (%),,,,Chhattisgarh
 Women having a bank or savings account that they themselves use (%),,,,Chhattisgarh
 Women having a mobile phone that they themselves use (%),,,,Chhattisgarh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Chhattisgarh
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,29.9,Chhattisgarh
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Chhattisgarh
 Women who use any kind of tobacco (%),,,,Chhattisgarh
 Men who use any kind of tobacco (%),,,,Chhattisgarh
 Women who consume alcohol (%),,,,Chhattisgarh
 Men who consume alcohol (%),,,,Chhattisgarh
