INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),7.2,10.1,12.1,Goa
 Men age 25-29 years married before age 21 years (%),,,7.2,Goa
 Total fertility rate (children per woman),1.9,1.8,1.8,Goa
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,3.6,Goa
 Infant mortality rate (IMR),,,,Goa
 Under five mortality rate (U5MR),,,,Goa
 Any modern method (%),37.9,35.9,37.2,Goa
 Female sterilization (%),29.5,27.8,25.8,Goa
 Male sterilization (%),1.0,0.4,0.1,Goa
 Total unmet need (%),15.7,17.1,13.1,Goa
 Unmet need for spacing (%),7.8,7.3,7.4,Goa
 Mothers who had at least 3 antenatal care visits for their last birth (%),89.8,96.3,95.0,Goa
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Goa
 Institutional births (%),87.8,90.9,92.6,Goa
 Births delivered by caesarean section (%),,,,Goa
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",74.9,82.6,78.6,Goa
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Goa
 Children under age 6 months exclusively breastfed (%),,,17.7,Goa
 Children under 5 years who are stunted (heightforage),34.9,21.7,25.9,Goa
 Children under 5 years who are wasted (weightforheight),17.5,16.5,12.8,Goa
 Children under 3 years who are underweight (%),29.3,21.3,21.3,Goa
 Women who are overweight or obese (%),,21.2,27.0,Goa
 Men who are overweight or obese (%),,28.7,,Goa
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,35.0,36.9,Goa
 Currently married women who usually participate in three household decisions (%),,,47.0,Goa
 Women who worked in the last 12 months and were paid in cash (%),,,,Goa
 Women owning a house and/or land (alone or jointly with others) (%),,,,Goa
 Women having a bank or savings account that they themselves use (%),,,,Goa
 Women having a mobile phone that they themselves use (%),,,,Goa
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Goa
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,16.8,Goa
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Goa
 Women who use any kind of tobacco (%),,,,Goa
 Men who use any kind of tobacco (%),,,,Goa
 Women who consume alcohol (%),,,,Goa
 Men who consume alcohol (%),,,,Goa
