INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),33.4,40.7,38.7,Gujarat
 Men age 25-29 years married before age 21 years (%),,,31.4,Gujarat
 Total fertility rate (children per woman),3.0,2.7,2.4,Gujarat
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,12.7,Gujarat
 Infant mortality rate (IMR),,,,Gujarat
 Under five mortality rate (U5MR),,,,Gujarat
 Any modern method (%),46.9,53.3,56.5,Gujarat
 Female sterilization (%),37.5,43.0,42.9,Gujarat
 Male sterilization (%),3.5,2.3,0.6,Gujarat
 Total unmet need (%),13.1,8.5,8.0,Gujarat
 Unmet need for spacing (%),7.6,4.8,4.3,Gujarat
 Mothers who had at least 3 antenatal care visits for their last birth (%),61.3,61.2,64.9,Gujarat
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Gujarat
 Institutional births (%),36.8,46.3,54.6,Gujarat
 Births delivered by caesarean section (%),,,,Gujarat
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",50.0,53.0,45.2,Gujarat
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Gujarat
 Children under age 6 months exclusively breastfed (%),,,47.8,Gujarat
 Children under 5 years who are stunted (heightforage),50.1,52.0,49.2,Gujarat
 Children under 5 years who are wasted (weightforheight),23.9,20.3,19.7,Gujarat
 Children under 3 years who are underweight (%),42.7,41.6,41.1,Gujarat
 Women who are overweight or obese (%),,15.8,20.3,Gujarat
 Men who are overweight or obese (%),,28.4,,Gujarat
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,47.4,60.8,Gujarat
 Currently married women who usually participate in three household decisions (%),,,36.6,Gujarat
 Women who worked in the last 12 months and were paid in cash (%),,,,Gujarat
 Women owning a house and/or land (alone or jointly with others) (%),,,,Gujarat
 Women having a bank or savings account that they themselves use (%),,,,Gujarat
 Women having a mobile phone that they themselves use (%),,,,Gujarat
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Gujarat
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,27.6,Gujarat
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Gujarat
 Women who use any kind of tobacco (%),,,,Gujarat
 Men who use any kind of tobacco (%),,,,Gujarat
 Women who consume alcohol (%),,,,Gujarat
 Men who consume alcohol (%),,,,Gujarat
