INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),57.3,41.5,41.2,Haryana
 Men age 25-29 years married before age 21 years (%),,,33.7,Haryana
 Total fertility rate (children per woman),4.0,2.9,2.7,Haryana
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,12.1,Haryana
 Infant mortality rate (IMR),,,,Haryana
 Under five mortality rate (U5MR),,,,Haryana
 Any modern method (%),44.4,53.2,58.3,Haryana
 Female sterilization (%),29.8,38.7,38.2,Haryana
 Male sterilization (%),5.0,2.1,0.7,Haryana
 Total unmet need (%),16.4,7.6,8.3,Haryana
 Unmet need for spacing (%),8.8,2.9,3.1,Haryana
 Mothers who had at least 3 antenatal care visits for their last birth (%),45.8,38.2,58.8,Haryana
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Haryana
 Institutional births (%),17.4,22.4,239.4,Haryana
 Births delivered by caesarean section (%),,,,Haryana
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",53.5,62.7,65.3,Haryana
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Haryana
 Children under age 6 months exclusively breastfed (%),,,16.9,Haryana
 Children under 5 years who are stunted (heightforage),50.5,55.6,43.3,Haryana
 Children under 5 years who are wasted (weightforheight),7.8,7.8,22.4,Haryana
 Children under 3 years who are underweight (%),31.0,29.9,38.2,Haryana
 Women who are overweight or obese (%),,16.6,21.0,Haryana
 Men who are overweight or obese (%),,21.5,,Haryana
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),55.5,65.5,,Haryana
 Currently married women who usually participate in three household decisions (%),,,41.7,Haryana
 Women who worked in the last 12 months and were paid in cash (%),,,,Haryana
 Women owning a house and/or land (alone or jointly with others) (%),,,,Haryana
 Women having a bank or savings account that they themselves use (%),,,,Haryana
 Women having a mobile phone that they themselves use (%),,,,Haryana
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Haryana
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Haryana
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Haryana
 Women who use any kind of tobacco (%),,,,Haryana
 Men who use any kind of tobacco (%),,,,Haryana
 Women who consume alcohol (%),,,,Haryana
 Men who consume alcohol (%),,,,Haryana
