INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,64.1,63.2,Jharkhand
 Men age 25-29 years married before age 21 years (%),,,47.1,Jharkhand
 Total fertility rate (children per woman),,2.8,3.3,Jharkhand
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,27.5,Jharkhand
 Infant mortality rate (IMR),,,,Jharkhand
 Under five mortality rate (U5MR),,,,Jharkhand
 Any modern method (%),,24.9,31.1,Jharkhand
 Female sterilization (%),,21.1,23.4,Jharkhand
 Male sterilization (%),,0.9,0.4,Jharkhand
 Total unmet need (%),,21.0,23.1,Jharkhand
 Unmet need for spacing (%),,11.1,11.3,Jharkhand
 Mothers who had at least 3 antenatal care visits for their last birth (%),,24.5,36.1,Jharkhand
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Jharkhand
 Institutional births (%),,13.9,19.2,Jharkhand
 Births delivered by caesarean section (%),,,,Jharkhand
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,8.8,34.2,Jharkhand
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Jharkhand
 Children under age 6 months exclusively breastfed (%),,,57.8,Jharkhand
 Children under 5 years who are stunted (heightforage),,54.1,47.2,Jharkhand
 Children under 5 years who are wasted (weightforheight),,28.0,35.8,Jharkhand
 Children under 3 years who are underweight (%),,51.5,54.6,Jharkhand
 Women who are overweight or obese (%),,3.2,5.9,Jharkhand
 Men who are overweight or obese (%),,,,Jharkhand
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,64.0,68.4,Jharkhand
 Currently married women who usually participate in three household decisions (%),,,41.8,Jharkhand
 Women who worked in the last 12 months and were paid in cash (%),,,,Jharkhand
 Women owning a house and/or land (alone or jointly with others) (%),,,,Jharkhand
 Women having a bank or savings account that they themselves use (%),,,,Jharkhand
 Women having a mobile phone that they themselves use (%),,,,Jharkhand
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Jharkhand
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Jharkhand
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Jharkhand
 Women who use any kind of tobacco (%),,,,Jharkhand
 Men who use any kind of tobacco (%),,,,Jharkhand
 Women who consume alcohol (%),,,,Jharkhand
 Men who consume alcohol (%),,,,Jharkhand
