INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,64.7,57.3,Madhya Pradesh
 Men age 25-29 years married before age 21 years (%),,,54.0,Madhya Pradesh
 Total fertility rate (children per woman),,3.4,3.1,Madhya Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,13.6,Madhya Pradesh
 Infant mortality rate (IMR),,,,Madhya Pradesh
 Under five mortality rate (U5MR),,,,Madhya Pradesh
 Any modern method (%),,42.8,52.8,Madhya Pradesh
 Female sterilization (%),,36.0,44.3,Madhya Pradesh
 Male sterilization (%),,1.9,1.3,Madhya Pradesh
 Total unmet need (%),,17.1,11.3,Madhya Pradesh
 Unmet need for spacing (%),,9.2,5.4,Madhya Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),,27.1,40.2,Madhya Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Madhya Pradesh
 Institutional births (%),,22.0,29.7,Madhya Pradesh
 Births delivered by caesarean section (%),,,,Madhya Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,22.6,40.3,Madhya Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Madhya Pradesh
 Children under age 6 months exclusively breastfed (%),,,21.6,Madhya Pradesh
 Children under 5 years who are stunted (heightforage),,55.1,46.5,Madhya Pradesh
 Children under 5 years who are wasted (weightforheight),,25.2,39.5,Madhya Pradesh
 Children under 3 years who are underweight (%),,50.8,57.9,Madhya Pradesh
 Women who are overweight or obese (%),,6.8,8.6,Madhya Pradesh
 Men who are overweight or obese (%),,,,Madhya Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,49.9,57.9,Madhya Pradesh
 Currently married women who usually participate in three household decisions (%),,,29.4,Madhya Pradesh
 Women who worked in the last 12 months and were paid in cash (%),,,,Madhya Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),,,,Madhya Pradesh
 Women having a bank or savings account that they themselves use (%),,,,Madhya Pradesh
 Women having a mobile phone that they themselves use (%),,,,Madhya Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Madhya Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,45.7,Madhya Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Madhya Pradesh
 Women who use any kind of tobacco (%),,,,Madhya Pradesh
 Men who use any kind of tobacco (%),,,,Madhya Pradesh
 Women who consume alcohol (%),,,,Madhya Pradesh
 Men who consume alcohol (%),,,,Madhya Pradesh
