INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),53.9,47.7,39.4,Maharashtra
 Men age 25-29 years married before age 21 years (%),,,15.4,Maharashtra
 Total fertility rate (children per woman),2.9,2.5,2.1,Maharashtra
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,13.8,Maharashtra
 Infant mortality rate (IMR),,,,Maharashtra
 Under five mortality rate (U5MR),,,,Maharashtra
 Any modern method (%),52.9,59.9,64.9,Maharashtra
 Female sterilization (%),40.3,48.5,51.1,Maharashtra
 Male sterilization (%),6.2,3.7,2.1,Maharashtra
 Total unmet need (%),14.1,13.0,9.4,Maharashtra
 Unmet need for spacing (%),7.3,8.1,5.4,Maharashtra
 Mothers who had at least 3 antenatal care visits for their last birth (%),63.3,66.2,75.3,Maharashtra
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Maharashtra
 Institutional births (%),44.5,52.6,266.1,Maharashtra
 Births delivered by caesarean section (%),,,,Maharashtra
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",64.3,78.4,58.8,Maharashtra
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Maharashtra
 Children under age 6 months exclusively breastfed (%),,,53.0,Maharashtra
 Children under 5 years who are stunted (heightforage),47.0,47.1,44.0,Maharashtra
 Children under 5 years who are wasted (weightforheight),27.6,23.6,17.2,Maharashtra
 Children under 3 years who are underweight (%),47.3,44.8,32.7,Maharashtra
 Women who are overweight or obese (%),,11.7,17.1,Maharashtra
 Men who are overweight or obese (%),,25.2,,Maharashtra
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),52.6,47.9,,Maharashtra
 Currently married women who usually participate in three household decisions (%),,,45.4,Maharashtra
 Women who worked in the last 12 months and were paid in cash (%),,,,Maharashtra
 Women owning a house and/or land (alone or jointly with others) (%),,,,Maharashtra
 Women having a bank or savings account that they themselves use (%),,,,Maharashtra
 Women having a mobile phone that they themselves use (%),,,,Maharashtra
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Maharashtra
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,30.7,Maharashtra
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Maharashtra
 Women who use any kind of tobacco (%),,,,Maharashtra
 Men who use any kind of tobacco (%),,,,Maharashtra
 Women who consume alcohol (%),,,,Maharashtra
 Men who consume alcohol (%),,,,Maharashtra
