INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),13.3,11.6,20.6,Mizoram
 Men age 25-29 years married before age 21 years (%),,,20.8,Mizoram
 Total fertility rate (children per woman),2.3,2.9,2.9,Mizoram
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,10.1,Mizoram
 Infant mortality rate (IMR),,,,Mizoram
 Under five mortality rate (U5MR),,,,Mizoram
 Any modern method (%),52.9,57.1,59.6,Mizoram
 Female sterilization (%),44.5,45.2,42.9,Mizoram
 Male sterilization (%),0.1,0.1,0.0,Mizoram
 Total unmet need (%),11.9,15.5,17.3,Mizoram
 Unmet need for spacing (%),9.2,11.7,12.3,Mizoram
 Mothers who had at least 3 antenatal care visits for their last birth (%),69.2,75.1,57.8,Mizoram
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Mizoram
 Institutional births (%),48.5,57.7,264.6,Mizoram
 Births delivered by caesarean section (%),,,,Mizoram
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",56.9,59.6,46.5,Mizoram
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Mizoram
 Children under age 6 months exclusively breastfed (%),,,46.1,Mizoram
 Children under 5 years who are stunted (heightforage),41.0,41.3,35.1,Mizoram
 Children under 5 years who are wasted (weightforheight),5.2,13.3,9.7,Mizoram
 Children under 3 years who are underweight (%),17.2,19.8,14.2,Mizoram
 Women who are overweight or obese (%),,5.3,12.0,Mizoram
 Men who are overweight or obese (%),,21.6,,Mizoram
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),45.7,,,Mizoram
 Currently married women who usually participate in three household decisions (%),,,70.4,Mizoram
 Women who worked in the last 12 months and were paid in cash (%),,,,Mizoram
 Women owning a house and/or land (alone or jointly with others) (%),,,,Mizoram
 Women having a bank or savings account that they themselves use (%),,,,Mizoram
 Women having a mobile phone that they themselves use (%),,,,Mizoram
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Mizoram
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Mizoram
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Mizoram
 Women who use any kind of tobacco (%),,,,Mizoram
 Men who use any kind of tobacco (%),,,,Mizoram
 Women who consume alcohol (%),,,,Mizoram
 Men who consume alcohol (%),,,,Mizoram
