INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),28.7,19.8,18.0,NCT Delhi
 Men age 25-29 years married before age 21 years (%),,,21.0,NCT Delhi
 Total fertility rate (children per woman),3.0,2.4,,NCT Delhi
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,,NCT Delhi
 Infant mortality rate (IMR),,,,NCT Delhi
 Under five mortality rate (U5MR),,,,NCT Delhi
 Any modern method (%),54.6,56.3,,NCT Delhi
 Female sterilization (%),20.0,26.3,,NCT Delhi
 Male sterilization (%),3.2,2.3,,NCT Delhi
 Total unmet need (%),15.4,13.4,,NCT Delhi
 Unmet need for spacing (%),7.6,5.9,,NCT Delhi
 Mothers who had at least 3 antenatal care visits for their last birth (%),72.2,68.9,,NCT Delhi
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,NCT Delhi
 Institutional births (%),45.3,59.1,,NCT Delhi
 Births delivered by caesarean section (%),,,,NCT Delhi
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",57.8,69.8,,NCT Delhi
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,NCT Delhi
 Children under age 6 months exclusively breastfed (%),,,,NCT Delhi
 Children under 5 years who are stunted (heightforage),46.9,43.2,,NCT Delhi
 Children under 5 years who are wasted (weightforheight),15.9,15.7,,NCT Delhi
 Children under 3 years who are underweight (%),36.2,29.9,,NCT Delhi
 Women who are overweight or obese (%),,33.8,,NCT Delhi
 Men who are overweight or obese (%),,29.7,,NCT Delhi
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,34.7,,NCT Delhi
 Currently married women who usually participate in three household decisions (%),,,,NCT Delhi
 Women who worked in the last 12 months and were paid in cash (%),,,,NCT Delhi
 Women owning a house and/or land (alone or jointly with others) (%),,,,NCT Delhi
 Women having a bank or savings account that they themselves use (%),,,,NCT Delhi
 Women having a mobile phone that they themselves use (%),,,,NCT Delhi
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,NCT Delhi
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,NCT Delhi
 Young women age 18-29 years who experienced sexual violence by age 18,,,,NCT Delhi
 Women who use any kind of tobacco (%),,,,NCT Delhi
 Men who use any kind of tobacco (%),,,,NCT Delhi
 Women who consume alcohol (%),,,,NCT Delhi
 Men who consume alcohol (%),,,,NCT Delhi
