INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),16.4,22.9,21.4,Nagaland
 Men age 25-29 years married before age 21 years (%),,,18.2,Nagaland
 Total fertility rate (children per woman),3.3,3.8,3.7,Nagaland
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,7.5,Nagaland
 Infant mortality rate (IMR),,,,Nagaland
 Under five mortality rate (U5MR),,,,Nagaland
 Any modern method (%),13.0,24.2,22.5,Nagaland
 Female sterilization (%),6.3,12.3,9.9,Nagaland
 Male sterilization (%),0.1,0.0,0.0,Nagaland
 Total unmet need (%),26.7,30.2,26.1,Nagaland
 Unmet need for spacing (%),12.9,18.3,10.0,Nagaland
 Mothers who had at least 3 antenatal care visits for their last birth (%),15.0,21.9,31.6,Nagaland
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Nagaland
 Institutional births (%),6.1,12.1,212.2,Nagaland
 Births delivered by caesarean section (%),,,,Nagaland
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",3.8,14.1,21.0,Nagaland
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Nagaland
 Children under age 6 months exclusively breastfed (%),,,29.2,Nagaland
 Children under 5 years who are stunted (heightforage),32.7,38.7,34.1,Nagaland
 Children under 5 years who are wasted (weightforheight),12.2,13.6,15.8,Nagaland
 Children under 3 years who are underweight (%),18.7,18.8,23.7,Nagaland
 Women who are overweight or obese (%),,8.2,8.9,Nagaland
 Men who are overweight or obese (%),,16.2,,Nagaland
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),38.2,,,Nagaland
 Currently married women who usually participate in three household decisions (%),,,73.1,Nagaland
 Women who worked in the last 12 months and were paid in cash (%),,,,Nagaland
 Women owning a house and/or land (alone or jointly with others) (%),,,,Nagaland
 Women having a bank or savings account that they themselves use (%),,,,Nagaland
 Women having a mobile phone that they themselves use (%),,,,Nagaland
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Nagaland
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Nagaland
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Nagaland
 Women who use any kind of tobacco (%),,,,Nagaland
 Men who use any kind of tobacco (%),,,,Nagaland
 Women who consume alcohol (%),,,,Nagaland
 Men who consume alcohol (%),,,,Nagaland
