INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),14.9,11.6,19.7,Punjab
 Men age 25-29 years married before age 21 years (%),,,27.2,Punjab
 Total fertility rate (children per woman),2.9,2.2,2.0,Punjab
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,5.5,Punjab
 Infant mortality rate (IMR),,,,Punjab
 Under five mortality rate (U5MR),,,,Punjab
 Any modern method (%),51.3,53.8,56.1,Punjab
 Female sterilization (%),31.5,29.3,30.8,Punjab
 Male sterilization (%),2.5,1.6,1.2,Punjab
 Total unmet need (%),13.0,7.3,7.3,Punjab
 Unmet need for spacing (%),6.5,2.8,2.6,Punjab
 Mothers who had at least 3 antenatal care visits for their last birth (%),62.2,58.4,72.8,Punjab
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Punjab
 Institutional births (%),24.8,37.5,52.5,Punjab
 Births delivered by caesarean section (%),,,,Punjab
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",61.9,72.1,60.1,Punjab
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Punjab
 Children under age 6 months exclusively breastfed (%),,,36.0,Punjab
 Children under 5 years who are stunted (heightforage),45.2,45.2,34.7,Punjab
 Children under 5 years who are wasted (weightforheight),20.8,8.1,10.2,Punjab
 Children under 3 years who are underweight (%),39.9,24.7,23.6,Punjab
 Women who are overweight or obese (%),,30.2,37.5,Punjab
 Men who are overweight or obese (%),,39.6,,Punjab
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,37.1,41.6,Punjab
 Currently married women who usually participate in three household decisions (%),,,37.4,Punjab
 Women who worked in the last 12 months and were paid in cash (%),,,,Punjab
 Women owning a house and/or land (alone or jointly with others) (%),,,,Punjab
 Women having a bank or savings account that they themselves use (%),,,,Punjab
 Women having a mobile phone that they themselves use (%),,,,Punjab
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Punjab
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,25.4,Punjab
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Punjab
 Women who use any kind of tobacco (%),,,,Punjab
 Men who use any kind of tobacco (%),,,,Punjab
 Women who consume alcohol (%),,,,Punjab
 Men who consume alcohol (%),,,,Punjab
