INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),69.5,68.3,65.2,Rajasthan
 Men age 25-29 years married before age 21 years (%),,,57.0,Rajasthan
 Total fertility rate (children per woman),3.6,3.8,3.2,Rajasthan
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,16.0,Rajasthan
 Infant mortality rate (IMR),,,,Rajasthan
 Under five mortality rate (U5MR),,,,Rajasthan
 Any modern method (%),31.0,38.1,44.4,Rajasthan
 Female sterilization (%),25.4,30.8,34.2,Rajasthan
 Male sterilization (%),2.4,1.5,0.8,Rajasthan
 Total unmet need (%),19.8,17.6,14.6,Rajasthan
 Unmet need for spacing (%),10.8,8.7,7.3,Rajasthan
 Mothers who had at least 3 antenatal care visits for their last birth (%),18.1,23.6,41.2,Rajasthan
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Rajasthan
 Institutional births (%),12.0,21.5,232.2,Rajasthan
 Births delivered by caesarean section (%),,,,Rajasthan
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",21.1,17.3,26.5,Rajasthan
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Rajasthan
 Children under age 6 months exclusively breastfed (%),,,33.2,Rajasthan
 Children under 5 years who are stunted (heightforage),45.5,59.0,40.1,Rajasthan
 Children under 5 years who are wasted (weightforheight),23.8,16.2,22.5,Rajasthan
 Children under 3 years who are underweight (%),41.8,46.7,36.8,Rajasthan
 Women who are overweight or obese (%),,7.1,10.2,Rajasthan
 Men who are overweight or obese (%),,18.7,,Rajasthan
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),51.4,,,Rajasthan
 Currently married women who usually participate in three household decisions (%),,,22.8,Rajasthan
 Women who worked in the last 12 months and were paid in cash (%),,,,Rajasthan
 Women owning a house and/or land (alone or jointly with others) (%),,,,Rajasthan
 Women having a bank or savings account that they themselves use (%),,,,Rajasthan
 Women having a mobile phone that they themselves use (%),,,,Rajasthan
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Rajasthan
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,46.3,Rajasthan
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Rajasthan
 Women who use any kind of tobacco (%),,,,Rajasthan
 Men who use any kind of tobacco (%),,,,Rajasthan
 Women who consume alcohol (%),,,,Rajasthan
 Men who consume alcohol (%),,,,Rajasthan
