INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),41.1,37.7,41.6,Tripura
 Men age 25-29 years married before age 21 years (%),,,11.4,Tripura
 Total fertility rate (children per woman),2.7,1.9,2.2,Tripura
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,18.5,Tripura
 Infant mortality rate (IMR),,,,Tripura
 Under five mortality rate (U5MR),,,,Tripura
 Any modern method (%),28.8,43.5,44.9,Tripura
 Female sterilization (%),16.9,26.1,17.6,Tripura
 Male sterilization (%),2.4,0.6,0.5,Tripura
 Total unmet need (%),13.5,17.7,10.3,Tripura
 Unmet need for spacing (%),5.3,8.1,3.8,Tripura
 Mothers who had at least 3 antenatal care visits for their last birth (%),38.4,47.2,58.7,Tripura
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Tripura
 Institutional births (%),29.6,45.2,248.9,Tripura
 Births delivered by caesarean section (%),,,,Tripura
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",19.0,40.7,49.7,Tripura
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Tripura
 Children under age 6 months exclusively breastfed (%),,,36.1,Tripura
 Children under 5 years who are stunted (heightforage),52.3,44.6,34.1,Tripura
 Children under 5 years who are wasted (weightforheight),20.6,18.0,24.0,Tripura
 Children under 3 years who are underweight (%),42.1,37.3,35.2,Tripura
 Women who are overweight or obese (%),,8.4,7.8,Tripura
 Men who are overweight or obese (%),,,,Tripura
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),53.6,,,Tripura
 Currently married women who usually participate in three household decisions (%),,,30.2,Tripura
 Women who worked in the last 12 months and were paid in cash (%),,,,Tripura
 Women owning a house and/or land (alone or jointly with others) (%),,,,Tripura
 Women having a bank or savings account that they themselves use (%),,,,Tripura
 Women having a mobile phone that they themselves use (%),,,,Tripura
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Tripura
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,,Tripura
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Tripura
 Women who use any kind of tobacco (%),,,,Tripura
 Men who use any kind of tobacco (%),,,,Tripura
 Women who consume alcohol (%),,,,Tripura
 Men who consume alcohol (%),,,,Tripura
