INDICATORS,NHS1,NHS2,NHS3,States
 Women age 20-24 years married before age 18 years (%),,64.3,58.6,Uttar Pradesh
 Men age 25-29 years married before age 21 years (%),,,51.4,Uttar Pradesh
 Total fertility rate (children per woman),,4.1,3.8,Uttar Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),,,14.3,Uttar Pradesh
 Infant mortality rate (IMR),,,,Uttar Pradesh
 Under five mortality rate (U5MR),,,,Uttar Pradesh
 Any modern method (%),,20.8,29.3,Uttar Pradesh
 Female sterilization (%),,14.1,17.3,Uttar Pradesh
 Male sterilization (%),,0.5,0.2,Uttar Pradesh
 Total unmet need (%),,25.4,21.2,Uttar Pradesh
 Unmet need for spacing (%),,11.8,9.1,Uttar Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),,14.6,26.3,Uttar Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),,,,Uttar Pradesh
 Institutional births (%),,,1.0,Uttar Pradesh
 Births delivered by caesarean section (%),,,,Uttar Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",,20.2,23.0,Uttar Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,,,,Uttar Pradesh
 Children under age 6 months exclusively breastfed (%),,,51.3,Uttar Pradesh
 Children under 5 years who are stunted (heightforage),,60.7,52.4,Uttar Pradesh
 Children under 5 years who are wasted (weightforheight),,16.9,19.5,Uttar Pradesh
 Children under 3 years who are underweight (%),,48.1,41.6,Uttar Pradesh
 Women who are overweight or obese (%),,7.3,11.1,Uttar Pradesh
 Men who are overweight or obese (%),,19.9,,Uttar Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),,45.8,51.6,Uttar Pradesh
 Currently married women who usually participate in three household decisions (%),,,33.7,Uttar Pradesh
 Women who worked in the last 12 months and were paid in cash (%),,,,Uttar Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),,,,Uttar Pradesh
 Women having a bank or savings account that they themselves use (%),,,,Uttar Pradesh
 Women having a mobile phone that they themselves use (%),,,,Uttar Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,,,,Uttar Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,,,42.4,Uttar Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,,Uttar Pradesh
 Women who use any kind of tobacco (%),,,,Uttar Pradesh
 Men who use any kind of tobacco (%),,,,Uttar Pradesh
 Women who consume alcohol (%),,,,Uttar Pradesh
 Men who consume alcohol (%),,,,Uttar Pradesh
