INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",16.4,Andaman Nicobar Islands
 Men age 25-29 years married before age 21 years (%),"
16.*
17",9.7,Andaman Nicobar Islands
 Total fertility rate (children per woman),"
17.*
18",1.4,Andaman Nicobar Islands
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",4.7,Andaman Nicobar Islands
 Infant mortality rate (IMR),"
19.*
20",10.0,Andaman Nicobar Islands
 Under five mortality rate (U5MR),"
20.*
",13.0,Andaman Nicobar Islands
 Any modern method (%),"
22.*
23",48.3,Andaman Nicobar Islands
 Female sterilization (%),"
23.*
24",39.9,Andaman Nicobar Islands
 Male sterilization (%),"
24.*
25",0.0,Andaman Nicobar Islands
 Total unmet need (%),"
28.*
29",15.5,Andaman Nicobar Islands
 Unmet need for spacing (%),"
29.*
",8.1,Andaman Nicobar Islands
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",92.1,Andaman Nicobar Islands
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1278.0,Andaman Nicobar Islands
 Institutional births (%),"43.*
44",96.4,Andaman Nicobar Islands
 Births delivered by caesarean section (%),"
47.*
48",19.3,Andaman Nicobar Islands
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",73.2,Andaman Nicobar Islands
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",94.4,Andaman Nicobar Islands
 Children under age 6 months exclusively breastfed (%),"
66.*
67",66.8,Andaman Nicobar Islands
 Children under 5 years who are stunted (heightforage),"
71.*
72",23.3,Andaman Nicobar Islands
 Children under 5 years who are wasted (weightforheight),"
72.*
73",18.9,Andaman Nicobar Islands
 Children under 3 years who are underweight (%),"
74.*
",21.6,Andaman Nicobar Islands
 Women who are overweight or obese (%),"
77.*
78",31.8,Andaman Nicobar Islands
 Men who are overweight or obese (%),"
78.*
",38.2,Andaman Nicobar Islands
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",61.4,Andaman Nicobar Islands
 Currently married women who usually participate in three household decisions (%),"
101.*
102",92.6,Andaman Nicobar Islands
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",21.0,Andaman Nicobar Islands
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",29.7,Andaman Nicobar Islands
 Women having a bank or savings account that they themselves use (%),"
106.*
107",81.8,Andaman Nicobar Islands
 Women having a mobile phone that they themselves use (%),"
107.*
108",66.9,Andaman Nicobar Islands
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",90.3,Andaman Nicobar Islands
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",18.3,Andaman Nicobar Islands
 Young women age 18-29 years who experienced sexual violence by age 18,,,Andaman Nicobar Islands
 Women who use any kind of tobacco (%),"
109.*
110",25.1,Andaman Nicobar Islands
 Men who use any kind of tobacco (%),"
110.*
111",61.6,Andaman Nicobar Islands
 Women who consume alcohol (%),"
111.*
112",2.5,Andaman Nicobar Islands
 Men who consume alcohol (%),"
112.*
113",51.7,Andaman Nicobar Islands
