INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",23.5,Arunachal Pradesh
 Men age 25-29 years married before age 21 years (%),"
16.*
17",22.6,Arunachal Pradesh
 Total fertility rate (children per woman),"
17.*
18",2.1,Arunachal Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",10.5,Arunachal Pradesh
 Infant mortality rate (IMR),"
19.*
20",23.0,Arunachal Pradesh
 Under five mortality rate (U5MR),"
20.*
",33.0,Arunachal Pradesh
 Any modern method (%),"
22.*
23",26.6,Arunachal Pradesh
 Female sterilization (%),"
23.*
24",11.2,Arunachal Pradesh
 Male sterilization (%),"
24.*
25",0.0,Arunachal Pradesh
 Total unmet need (%),"
28.*
29",21.5,Arunachal Pradesh
 Unmet need for spacing (%),"
29.*
",12.7,Arunachal Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",26.7,Arunachal Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",6473.0,Arunachal Pradesh
 Institutional births (%),"43.*
44",52.2,Arunachal Pradesh
 Births delivered by caesarean section (%),"
47.*
48",8.9,Arunachal Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",38.2,Arunachal Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",93.9,Arunachal Pradesh
 Children under age 6 months exclusively breastfed (%),"
66.*
67",57.0,Arunachal Pradesh
 Children under 5 years who are stunted (heightforage),"
71.*
72",29.4,Arunachal Pradesh
 Children under 5 years who are wasted (weightforheight),"
72.*
73",17.3,Arunachal Pradesh
 Children under 3 years who are underweight (%),"
74.*
",19.4,Arunachal Pradesh
 Women who are overweight or obese (%),"
77.*
78",18.8,Arunachal Pradesh
 Men who are overweight or obese (%),"
78.*
",20.6,Arunachal Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",37.8,Arunachal Pradesh
 Currently married women who usually participate in three household decisions (%),"
101.*
102",89.1,Arunachal Pradesh
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",17.2,Arunachal Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",59.7,Arunachal Pradesh
 Women having a bank or savings account that they themselves use (%),"
106.*
107",56.6,Arunachal Pradesh
 Women having a mobile phone that they themselves use (%),"
107.*
108",59.8,Arunachal Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",73.4,Arunachal Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",30.7,Arunachal Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,Arunachal Pradesh
 Women who use any kind of tobacco (%),"
109.*
110",17.7,Arunachal Pradesh
 Men who use any kind of tobacco (%),"
110.*
111",60.0,Arunachal Pradesh
 Women who consume alcohol (%),"
111.*
112",26.3,Arunachal Pradesh
 Men who consume alcohol (%),"
112.*
113",59.0,Arunachal Pradesh
