INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",21.3,Chhattisgarh
 Men age 25-29 years married before age 21 years (%),"
16.*
17",26.9,Chhattisgarh
 Total fertility rate (children per woman),"
17.*
18",2.2,Chhattisgarh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",4.8,Chhattisgarh
 Infant mortality rate (IMR),"
19.*
20",54.0,Chhattisgarh
 Under five mortality rate (U5MR),"
20.*
",64.0,Chhattisgarh
 Any modern method (%),"
22.*
23",54.5,Chhattisgarh
 Female sterilization (%),"
23.*
24",46.2,Chhattisgarh
 Male sterilization (%),"
24.*
25",0.7,Chhattisgarh
 Total unmet need (%),"
28.*
29",11.1,Chhattisgarh
 Unmet need for spacing (%),"
29.*
",5.3,Chhattisgarh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",59.1,Chhattisgarh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1480.0,Chhattisgarh
 Institutional births (%),"43.*
44",70.2,Chhattisgarh
 Births delivered by caesarean section (%),"
47.*
48",9.9,Chhattisgarh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",76.4,Chhattisgarh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",96.4,Chhattisgarh
 Children under age 6 months exclusively breastfed (%),"
66.*
67",77.2,Chhattisgarh
 Children under 5 years who are stunted (heightforage),"
71.*
72",37.6,Chhattisgarh
 Children under 5 years who are wasted (weightforheight),"
72.*
73",23.1,Chhattisgarh
 Children under 3 years who are underweight (%),"
74.*
",37.7,Chhattisgarh
 Women who are overweight or obese (%),"
77.*
78",11.9,Chhattisgarh
 Men who are overweight or obese (%),"
78.*
",10.2,Chhattisgarh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",41.5,Chhattisgarh
 Currently married women who usually participate in three household decisions (%),"
101.*
102",90.5,Chhattisgarh
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",36.8,Chhattisgarh
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",26.4,Chhattisgarh
 Women having a bank or savings account that they themselves use (%),"
106.*
107",51.3,Chhattisgarh
 Women having a mobile phone that they themselves use (%),"
107.*
108",31.0,Chhattisgarh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",47.1,Chhattisgarh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",36.7,Chhattisgarh
 Young women age 18-29 years who experienced sexual violence by age 18,,,Chhattisgarh
 Women who use any kind of tobacco (%),"
109.*
110",21.6,Chhattisgarh
 Men who use any kind of tobacco (%),"
110.*
111",55.2,Chhattisgarh
 Women who consume alcohol (%),"
111.*
112",5.0,Chhattisgarh
 Men who consume alcohol (%),"
112.*
113",52.7,Chhattisgarh
