INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",24.9,Gujarat
 Men age 25-29 years married before age 21 years (%),"
16.*
17",28.4,Gujarat
 Total fertility rate (children per woman),"
17.*
18",2.0,Gujarat
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",6.5,Gujarat
 Infant mortality rate (IMR),"
19.*
20",34.0,Gujarat
 Under five mortality rate (U5MR),"
20.*
",43.0,Gujarat
 Any modern method (%),"
22.*
23",43.1,Gujarat
 Female sterilization (%),"
23.*
24",33.6,Gujarat
 Male sterilization (%),"
24.*
25",0.1,Gujarat
 Total unmet need (%),"
28.*
29",17.0,Gujarat
 Unmet need for spacing (%),"
29.*
",6.7,Gujarat
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",70.5,Gujarat
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",2136.0,Gujarat
 Institutional births (%),"43.*
44",88.5,Gujarat
 Births delivered by caesarean section (%),"
47.*
48",18.4,Gujarat
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",50.4,Gujarat
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",87.1,Gujarat
 Children under age 6 months exclusively breastfed (%),"
66.*
67",55.8,Gujarat
 Children under 5 years who are stunted (heightforage),"
71.*
72",38.5,Gujarat
 Children under 5 years who are wasted (weightforheight),"
72.*
73",26.4,Gujarat
 Children under 3 years who are underweight (%),"
74.*
",39.3,Gujarat
 Women who are overweight or obese (%),"
77.*
78",23.7,Gujarat
 Men who are overweight or obese (%),"
78.*
",19.7,Gujarat
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",51.3,Gujarat
 Currently married women who usually participate in three household decisions (%),"
101.*
102",85.4,Gujarat
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",30.2,Gujarat
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",27.2,Gujarat
 Women having a bank or savings account that they themselves use (%),"
106.*
107",48.6,Gujarat
 Women having a mobile phone that they themselves use (%),"
107.*
108",47.9,Gujarat
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",60.3,Gujarat
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",20.1,Gujarat
 Young women age 18-29 years who experienced sexual violence by age 18,,,Gujarat
 Women who use any kind of tobacco (%),"
109.*
110",7.4,Gujarat
 Men who use any kind of tobacco (%),"
110.*
111",51.4,Gujarat
 Women who consume alcohol (%),"
111.*
112",0.3,Gujarat
 Men who consume alcohol (%),"
112.*
113",11.1,Gujarat
