INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",26.8,India
 Men age 25-29 years married before age 21 years (%),"
16.*
17",20.3,India
 Total fertility rate (children per woman),"
17.*
18",2.2,India
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.9,India
 Infant mortality rate (IMR),"
19.*
20",41.0,India
 Under five mortality rate (U5MR),"
20.*
",50.0,India
 Any modern method (%),"
22.*
23",47.8,India
 Female sterilization (%),"
23.*
24",36.0,India
 Male sterilization (%),"
24.*
25",0.3,India
 Total unmet need (%),"
28.*
29",12.9,India
 Unmet need for spacing (%),"
29.*
",5.7,India
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",51.2,India
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3197.0,India
 Institutional births (%),"43.*
44",78.9,India
 Births delivered by caesarean section (%),"
47.*
48",17.2,India
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",62.0,India
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",90.7,India
 Children under age 6 months exclusively breastfed (%),"
66.*
67",54.9,India
 Children under 5 years who are stunted (heightforage),"
71.*
72",38.4,India
 Children under 5 years who are wasted (weightforheight),"
72.*
73",21.0,India
 Children under 3 years who are underweight (%),"
74.*
",35.8,India
 Women who are overweight or obese (%),"
77.*
78",20.6,India
 Men who are overweight or obese (%),"
78.*
",18.9,India
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",50.4,India
 Currently married women who usually participate in three household decisions (%),"
101.*
102",84.0,India
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",24.6,India
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",38.4,India
 Women having a bank or savings account that they themselves use (%),"
106.*
107",53.0,India
 Women having a mobile phone that they themselves use (%),"
107.*
108",45.9,India
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",57.6,India
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",31.1,India
 Young women age 18-29 years who experienced sexual violence by age 18,,,India
 Women who use any kind of tobacco (%),"
109.*
110",6.8,India
 Men who use any kind of tobacco (%),"
110.*
111",44.5,India
 Women who consume alcohol (%),"
111.*
112",1.2,India
 Men who consume alcohol (%),"
112.*
113",29.2,India
