INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",8.7,Jammu and Kashmir
 Men age 25-29 years married before age 21 years (%),"
16.*
17",10.5,Jammu and Kashmir
 Total fertility rate (children per woman),"
17.*
18",2.0,Jammu and Kashmir
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.9,Jammu and Kashmir
 Infant mortality rate (IMR),"
19.*
20",32.0,Jammu and Kashmir
 Under five mortality rate (U5MR),"
20.*
",38.0,Jammu and Kashmir
 Any modern method (%),"
22.*
23",46.1,Jammu and Kashmir
 Female sterilization (%),"
23.*
24",24.4,Jammu and Kashmir
 Male sterilization (%),"
24.*
25",0.4,Jammu and Kashmir
 Total unmet need (%),"
28.*
29",12.3,Jammu and Kashmir
 Unmet need for spacing (%),"
29.*
",5.8,Jammu and Kashmir
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",81.3,Jammu and Kashmir
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4192.0,Jammu and Kashmir
 Institutional births (%),"43.*
44",85.6,Jammu and Kashmir
 Births delivered by caesarean section (%),"
47.*
48",33.1,Jammu and Kashmir
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",75.1,Jammu and Kashmir
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",97.5,Jammu and Kashmir
 Children under age 6 months exclusively breastfed (%),"
66.*
67",65.4,Jammu and Kashmir
 Children under 5 years who are stunted (heightforage),"
71.*
72",27.4,Jammu and Kashmir
 Children under 5 years who are wasted (weightforheight),"
72.*
73",12.1,Jammu and Kashmir
 Children under 3 years who are underweight (%),"
74.*
",16.6,Jammu and Kashmir
 Women who are overweight or obese (%),"
77.*
78",29.1,Jammu and Kashmir
 Men who are overweight or obese (%),"
78.*
",20.5,Jammu and Kashmir
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",47.5,Jammu and Kashmir
 Currently married women who usually participate in three household decisions (%),"
101.*
102",84.0,Jammu and Kashmir
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",12.4,Jammu and Kashmir
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",33.3,Jammu and Kashmir
 Women having a bank or savings account that they themselves use (%),"
106.*
107",60.3,Jammu and Kashmir
 Women having a mobile phone that they themselves use (%),"
107.*
108",54.2,Jammu and Kashmir
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",66.5,Jammu and Kashmir
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",9.4,Jammu and Kashmir
 Young women age 18-29 years who experienced sexual violence by age 18,,,Jammu and Kashmir
 Women who use any kind of tobacco (%),"
109.*
110",2.8,Jammu and Kashmir
 Men who use any kind of tobacco (%),"
110.*
111",38.2,Jammu and Kashmir
 Women who consume alcohol (%),"
111.*
112",0.1,Jammu and Kashmir
 Men who consume alcohol (%),"
112.*
113",10.5,Jammu and Kashmir
