INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",21.4,Karnataka
 Men age 25-29 years married before age 21 years (%),"
16.*
17",9.1,Karnataka
 Total fertility rate (children per woman),"
17.*
18",1.8,Karnataka
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.8,Karnataka
 Infant mortality rate (IMR),"
19.*
20",27.0,Karnataka
 Under five mortality rate (U5MR),"
20.*
",31.0,Karnataka
 Any modern method (%),"
22.*
23",51.3,Karnataka
 Female sterilization (%),"
23.*
24",48.6,Karnataka
 Male sterilization (%),"
24.*
25",0.1,Karnataka
 Total unmet need (%),"
28.*
29",10.4,Karnataka
 Unmet need for spacing (%),"
29.*
",6.0,Karnataka
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",70.1,Karnataka
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4824.0,Karnataka
 Institutional births (%),"43.*
44",94.0,Karnataka
 Births delivered by caesarean section (%),"
47.*
48",23.6,Karnataka
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",62.6,Karnataka
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",88.2,Karnataka
 Children under age 6 months exclusively breastfed (%),"
66.*
67",54.2,Karnataka
 Children under 5 years who are stunted (heightforage),"
71.*
72",36.2,Karnataka
 Children under 5 years who are wasted (weightforheight),"
72.*
73",26.1,Karnataka
 Children under 3 years who are underweight (%),"
74.*
",35.2,Karnataka
 Women who are overweight or obese (%),"
77.*
78",23.3,Karnataka
 Men who are overweight or obese (%),"
78.*
",22.1,Karnataka
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",45.4,Karnataka
 Currently married women who usually participate in three household decisions (%),"
101.*
102",80.4,Karnataka
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",29.1,Karnataka
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",51.8,Karnataka
 Women having a bank or savings account that they themselves use (%),"
106.*
107",59.4,Karnataka
 Women having a mobile phone that they themselves use (%),"
107.*
108",47.1,Karnataka
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",70.3,Karnataka
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",20.5,Karnataka
 Young women age 18-29 years who experienced sexual violence by age 18,,,Karnataka
 Women who use any kind of tobacco (%),"
109.*
110",4.2,Karnataka
 Men who use any kind of tobacco (%),"
110.*
111",34.3,Karnataka
 Women who consume alcohol (%),"
111.*
112",1.0,Karnataka
 Men who consume alcohol (%),"
112.*
113",29.3,Karnataka
