INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",7.6,Kerala
 Men age 25-29 years married before age 21 years (%),"
16.*
17",2.8,Kerala
 Total fertility rate (children per woman),"
17.*
18",1.6,Kerala
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",3.0,Kerala
 Infant mortality rate (IMR),"
19.*
20",6.0,Kerala
 Under five mortality rate (U5MR),"
20.*
",7.0,Kerala
 Any modern method (%),"
22.*
23",50.3,Kerala
 Female sterilization (%),"
23.*
24",45.8,Kerala
 Male sterilization (%),"
24.*
25",0.1,Kerala
 Total unmet need (%),"
28.*
29",13.7,Kerala
 Unmet need for spacing (%),"
29.*
",8.3,Kerala
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",90.1,Kerala
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",6901.0,Kerala
 Institutional births (%),"43.*
44",99.8,Kerala
 Births delivered by caesarean section (%),"
47.*
48",35.8,Kerala
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",82.1,Kerala
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",77.6,Kerala
 Children under age 6 months exclusively breastfed (%),"
66.*
67",53.3,Kerala
 Children under 5 years who are stunted (heightforage),"
71.*
72",19.7,Kerala
 Children under 5 years who are wasted (weightforheight),"
72.*
73",15.7,Kerala
 Children under 3 years who are underweight (%),"
74.*
",16.1,Kerala
 Women who are overweight or obese (%),"
77.*
78",32.4,Kerala
 Men who are overweight or obese (%),"
78.*
",28.5,Kerala
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",22.6,Kerala
 Currently married women who usually participate in three household decisions (%),"
101.*
102",92.1,Kerala
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",20.4,Kerala
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",34.9,Kerala
 Women having a bank or savings account that they themselves use (%),"
106.*
107",70.6,Kerala
 Women having a mobile phone that they themselves use (%),"
107.*
108",81.2,Kerala
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",90.0,Kerala
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",14.3,Kerala
 Young women age 18-29 years who experienced sexual violence by age 18,,,Kerala
 Women who use any kind of tobacco (%),"
109.*
110",0.8,Kerala
 Men who use any kind of tobacco (%),"
110.*
111",25.7,Kerala
 Women who consume alcohol (%),"
111.*
112",1.6,Kerala
 Men who consume alcohol (%),"
112.*
113",37.0,Kerala
