INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",32.4,Madhya Pradesh
 Men age 25-29 years married before age 21 years (%),"
16.*
17",31.2,Madhya Pradesh
 Total fertility rate (children per woman),"
17.*
18",2.3,Madhya Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.3,Madhya Pradesh
 Infant mortality rate (IMR),"
19.*
20",51.0,Madhya Pradesh
 Under five mortality rate (U5MR),"
20.*
",65.0,Madhya Pradesh
 Any modern method (%),"
22.*
23",49.6,Madhya Pradesh
 Female sterilization (%),"
23.*
24",42.2,Madhya Pradesh
 Male sterilization (%),"
24.*
25",0.5,Madhya Pradesh
 Total unmet need (%),"
28.*
29",12.1,Madhya Pradesh
 Unmet need for spacing (%),"
29.*
",5.7,Madhya Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",35.7,Madhya Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1481.0,Madhya Pradesh
 Institutional births (%),"43.*
44",80.8,Madhya Pradesh
 Births delivered by caesarean section (%),"
47.*
48",8.6,Madhya Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",53.6,Madhya Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",95.7,Madhya Pradesh
 Children under age 6 months exclusively breastfed (%),"
66.*
67",58.2,Madhya Pradesh
 Children under 5 years who are stunted (heightforage),"
71.*
72",42.0,Madhya Pradesh
 Children under 5 years who are wasted (weightforheight),"
72.*
73",25.8,Madhya Pradesh
 Children under 3 years who are underweight (%),"
74.*
",42.8,Madhya Pradesh
 Women who are overweight or obese (%),"
77.*
78",13.6,Madhya Pradesh
 Men who are overweight or obese (%),"
78.*
",10.9,Madhya Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",54.6,Madhya Pradesh
 Currently married women who usually participate in three household decisions (%),"
101.*
102",82.8,Madhya Pradesh
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",29.9,Madhya Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",43.5,Madhya Pradesh
 Women having a bank or savings account that they themselves use (%),"
106.*
107",37.3,Madhya Pradesh
 Women having a mobile phone that they themselves use (%),"
107.*
108",28.7,Madhya Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",37.6,Madhya Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",33.0,Madhya Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,,,Madhya Pradesh
 Women who use any kind of tobacco (%),"
109.*
110",10.4,Madhya Pradesh
 Men who use any kind of tobacco (%),"
110.*
111",59.5,Madhya Pradesh
 Women who consume alcohol (%),"
111.*
112",1.6,Madhya Pradesh
 Men who consume alcohol (%),"
112.*
113",29.6,Madhya Pradesh
