INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",16.9,Meghalaya
 Men age 25-29 years married before age 21 years (%),"
16.*
17",13.6,Meghalaya
 Total fertility rate (children per woman),"
17.*
18",3.0,Meghalaya
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",8.6,Meghalaya
 Infant mortality rate (IMR),"
19.*
20",30.0,Meghalaya
 Under five mortality rate (U5MR),"
20.*
",40.0,Meghalaya
 Any modern method (%),"
22.*
23",21.9,Meghalaya
 Female sterilization (%),"
23.*
24",6.2,Meghalaya
 Male sterilization (%),"
24.*
25",0.0,Meghalaya
 Total unmet need (%),"
28.*
29",21.2,Meghalaya
 Unmet need for spacing (%),"
29.*
",15.3,Meghalaya
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",50.0,Meghalaya
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3319.0,Meghalaya
 Institutional births (%),"43.*
44",51.4,Meghalaya
 Births delivered by caesarean section (%),"
47.*
48",7.6,Meghalaya
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",61.4,Meghalaya
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",92.4,Meghalaya
 Children under age 6 months exclusively breastfed (%),"
66.*
67",35.8,Meghalaya
 Children under 5 years who are stunted (heightforage),"
71.*
72",43.8,Meghalaya
 Children under 5 years who are wasted (weightforheight),"
72.*
73",15.3,Meghalaya
 Children under 3 years who are underweight (%),"
74.*
",28.9,Meghalaya
 Women who are overweight or obese (%),"
77.*
78",12.2,Meghalaya
 Men who are overweight or obese (%),"
78.*
",10.1,Meghalaya
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",53.3,Meghalaya
 Currently married women who usually participate in three household decisions (%),"
101.*
102",91.4,Meghalaya
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",35.9,Meghalaya
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",57.3,Meghalaya
 Women having a bank or savings account that they themselves use (%),"
106.*
107",54.4,Meghalaya
 Women having a mobile phone that they themselves use (%),"
107.*
108",64.3,Meghalaya
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",63.7,Meghalaya
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",28.7,Meghalaya
 Young women age 18-29 years who experienced sexual violence by age 18,,,Meghalaya
 Women who use any kind of tobacco (%),"
109.*
110",32.3,Meghalaya
 Men who use any kind of tobacco (%),"
110.*
111",72.2,Meghalaya
 Women who consume alcohol (%),"
111.*
112",2.1,Meghalaya
 Men who consume alcohol (%),"
112.*
113",44.6,Meghalaya
