INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",10.9,Mizoram
 Men age 25-29 years married before age 21 years (%),"
16.*
17",14.3,Mizoram
 Total fertility rate (children per woman),"
17.*
18",2.3,Mizoram
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.2,Mizoram
 Infant mortality rate (IMR),"
19.*
20",40.0,Mizoram
 Under five mortality rate (U5MR),"
20.*
",46.0,Mizoram
 Any modern method (%),"
22.*
23",35.2,Mizoram
 Female sterilization (%),"
23.*
24",17.4,Mizoram
 Male sterilization (%),"
24.*
25",0.0,Mizoram
 Total unmet need (%),"
28.*
29",20.0,Mizoram
 Unmet need for spacing (%),"
29.*
",12.4,Mizoram
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",61.4,Mizoram
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4298.0,Mizoram
 Institutional births (%),"43.*
44",79.7,Mizoram
 Births delivered by caesarean section (%),"
47.*
48",12.7,Mizoram
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",50.7,Mizoram
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",92.4,Mizoram
 Children under age 6 months exclusively breastfed (%),"
66.*
67",61.1,Mizoram
 Children under 5 years who are stunted (heightforage),"
71.*
72",28.1,Mizoram
 Children under 5 years who are wasted (weightforheight),"
72.*
73",6.1,Mizoram
 Children under 3 years who are underweight (%),"
74.*
",12.0,Mizoram
 Women who are overweight or obese (%),"
77.*
78",21.0,Mizoram
 Men who are overweight or obese (%),"
78.*
",20.9,Mizoram
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",27.0,Mizoram
 Currently married women who usually participate in three household decisions (%),"
101.*
102",96.0,Mizoram
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",29.4,Mizoram
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",19.6,Mizoram
 Women having a bank or savings account that they themselves use (%),"
106.*
107",57.1,Mizoram
 Women having a mobile phone that they themselves use (%),"
107.*
108",77.0,Mizoram
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",93.4,Mizoram
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",17.0,Mizoram
 Young women age 18-29 years who experienced sexual violence by age 18,,,Mizoram
 Women who use any kind of tobacco (%),"
109.*
110",59.5,Mizoram
 Men who use any kind of tobacco (%),"
110.*
111",80.5,Mizoram
 Women who consume alcohol (%),"
111.*
112",5.0,Mizoram
 Men who consume alcohol (%),"
112.*
113",49.5,Mizoram
