INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",13.4,Nagaland
 Men age 25-29 years married before age 21 years (%),"
16.*
17",8.0,Nagaland
 Total fertility rate (children per woman),"
17.*
18",2.7,Nagaland
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",5.7,Nagaland
 Infant mortality rate (IMR),"
19.*
20",30.0,Nagaland
 Under five mortality rate (U5MR),"
20.*
",37.0,Nagaland
 Any modern method (%),"
22.*
23",21.3,Nagaland
 Female sterilization (%),"
23.*
24",9.1,Nagaland
 Male sterilization (%),"
24.*
25",0.0,Nagaland
 Total unmet need (%),"
28.*
29",22.3,Nagaland
 Unmet need for spacing (%),"
29.*
",11.3,Nagaland
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",15.0,Nagaland
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",5880.0,Nagaland
 Institutional births (%),"43.*
44",32.8,Nagaland
 Births delivered by caesarean section (%),"
47.*
48",5.8,Nagaland
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",35.4,Nagaland
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",91.6,Nagaland
 Children under age 6 months exclusively breastfed (%),"
66.*
67",44.3,Nagaland
 Children under 5 years who are stunted (heightforage),"
71.*
72",28.6,Nagaland
 Children under 5 years who are wasted (weightforheight),"
72.*
73",11.3,Nagaland
 Children under 3 years who are underweight (%),"
74.*
",16.7,Nagaland
 Women who are overweight or obese (%),"
77.*
78",16.2,Nagaland
 Men who are overweight or obese (%),"
78.*
",13.9,Nagaland
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",32.7,Nagaland
 Currently married women who usually participate in three household decisions (%),"
101.*
102",97.4,Nagaland
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",22.7,Nagaland
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",35.2,Nagaland
 Women having a bank or savings account that they themselves use (%),"
106.*
107",38.8,Nagaland
 Women having a mobile phone that they themselves use (%),"
107.*
108",70.4,Nagaland
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",72.4,Nagaland
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",13.1,Nagaland
 Young women age 18-29 years who experienced sexual violence by age 18,,,Nagaland
 Women who use any kind of tobacco (%),"
109.*
110",27.4,Nagaland
 Men who use any kind of tobacco (%),"
110.*
111",69.2,Nagaland
 Women who consume alcohol (%),"
111.*
112",3.3,Nagaland
 Men who consume alcohol (%),"
112.*
113",38.8,Nagaland
