INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",21.3,Odisha
 Men age 25-29 years married before age 21 years (%),"
16.*
17",11.0,Odisha
 Total fertility rate (children per woman),"
17.*
18",2.1,Odisha
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",7.6,Odisha
 Infant mortality rate (IMR),"
19.*
20",40.0,Odisha
 Under five mortality rate (U5MR),"
20.*
",48.0,Odisha
 Any modern method (%),"
22.*
23",45.4,Odisha
 Female sterilization (%),"
23.*
24",28.2,Odisha
 Male sterilization (%),"
24.*
25",0.2,Odisha
 Total unmet need (%),"
28.*
29",13.6,Odisha
 Unmet need for spacing (%),"
29.*
",4.7,Odisha
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",61.9,Odisha
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4226.0,Odisha
 Institutional births (%),"43.*
44",85.3,Odisha
 Births delivered by caesarean section (%),"
47.*
48",13.8,Odisha
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",78.6,Odisha
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",98.3,Odisha
 Children under age 6 months exclusively breastfed (%),"
66.*
67",65.6,Odisha
 Children under 5 years who are stunted (heightforage),"
71.*
72",34.1,Odisha
 Children under 5 years who are wasted (weightforheight),"
72.*
73",20.4,Odisha
 Children under 3 years who are underweight (%),"
74.*
",34.4,Odisha
 Women who are overweight or obese (%),"
77.*
78",16.5,Odisha
 Men who are overweight or obese (%),"
78.*
",17.2,Odisha
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",47.6,Odisha
 Currently married women who usually participate in three household decisions (%),"
101.*
102",81.8,Odisha
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",22.5,Odisha
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",63.5,Odisha
 Women having a bank or savings account that they themselves use (%),"
106.*
107",56.2,Odisha
 Women having a mobile phone that they themselves use (%),"
107.*
108",39.2,Odisha
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",47.4,Odisha
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",35.2,Odisha
 Young women age 18-29 years who experienced sexual violence by age 18,,,Odisha
 Women who use any kind of tobacco (%),"
109.*
110",17.3,Odisha
 Men who use any kind of tobacco (%),"
110.*
111",55.9,Odisha
 Women who consume alcohol (%),"
111.*
112",2.4,Odisha
 Men who consume alcohol (%),"
112.*
113",39.3,Odisha
