INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",7.6,Punjab
 Men age 25-29 years married before age 21 years (%),"
16.*
17",11.1,Punjab
 Total fertility rate (children per woman),"
17.*
18",1.6,Punjab
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.6,Punjab
 Infant mortality rate (IMR),"
19.*
20",29.0,Punjab
 Under five mortality rate (U5MR),"
20.*
",33.0,Punjab
 Any modern method (%),"
22.*
23",66.3,Punjab
 Female sterilization (%),"
23.*
24",37.5,Punjab
 Male sterilization (%),"
24.*
25",0.6,Punjab
 Total unmet need (%),"
28.*
29",6.2,Punjab
 Unmet need for spacing (%),"
29.*
",2.4,Punjab
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",68.5,Punjab
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",1890.0,Punjab
 Institutional births (%),"43.*
44",90.5,Punjab
 Births delivered by caesarean section (%),"
47.*
48",24.6,Punjab
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",89.1,Punjab
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",89.0,Punjab
 Children under age 6 months exclusively breastfed (%),"
66.*
67",53.0,Punjab
 Children under 5 years who are stunted (heightforage),"
71.*
72",25.7,Punjab
 Children under 5 years who are wasted (weightforheight),"
72.*
73",15.6,Punjab
 Children under 3 years who are underweight (%),"
74.*
",21.6,Punjab
 Women who are overweight or obese (%),"
77.*
78",31.3,Punjab
 Men who are overweight or obese (%),"
78.*
",27.8,Punjab
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",42.0,Punjab
 Currently married women who usually participate in three household decisions (%),"
101.*
102",90.2,Punjab
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",18.5,Punjab
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",32.1,Punjab
 Women having a bank or savings account that they themselves use (%),"
106.*
107",58.8,Punjab
 Women having a mobile phone that they themselves use (%),"
107.*
108",57.2,Punjab
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",84.4,Punjab
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",20.5,Punjab
 Young women age 18-29 years who experienced sexual violence by age 18,,,Punjab
 Women who use any kind of tobacco (%),"
109.*
110",0.1,Punjab
 Men who use any kind of tobacco (%),"
110.*
111",19.2,Punjab
 Women who consume alcohol (%),"
111.*
112",0.1,Punjab
 Men who consume alcohol (%),"
112.*
113",34.0,Punjab
