INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",15.0,Sikkim
 Men age 25-29 years married before age 21 years (%),"
16.*
17",10.7,Sikkim
 Total fertility rate (children per woman),"
17.*
18",1.2,Sikkim
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",2.8,Sikkim
 Infant mortality rate (IMR),"
19.*
20",30.0,Sikkim
 Under five mortality rate (U5MR),"
20.*
",32.0,Sikkim
 Any modern method (%),"
22.*
23",45.9,Sikkim
 Female sterilization (%),"
23.*
24",17.6,Sikkim
 Male sterilization (%),"
24.*
25",3.4,Sikkim
 Total unmet need (%),"
28.*
29",21.7,Sikkim
 Unmet need for spacing (%),"
29.*
",8.9,Sikkim
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",74.7,Sikkim
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",3993.0,Sikkim
 Institutional births (%),"43.*
44",94.7,Sikkim
 Births delivered by caesarean section (%),"
47.*
48",20.9,Sikkim
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",83.0,Sikkim
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",94.1,Sikkim
 Children under age 6 months exclusively breastfed (%),"
66.*
67",54.6,Sikkim
 Children under 5 years who are stunted (heightforage),"
71.*
72",29.6,Sikkim
 Children under 5 years who are wasted (weightforheight),"
72.*
73",14.2,Sikkim
 Children under 3 years who are underweight (%),"
74.*
",14.2,Sikkim
 Women who are overweight or obese (%),"
77.*
78",26.7,Sikkim
 Men who are overweight or obese (%),"
78.*
",34.8,Sikkim
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",23.6,Sikkim
 Currently married women who usually participate in three household decisions (%),"
101.*
102",95.3,Sikkim
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",19.9,Sikkim
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",24.8,Sikkim
 Women having a bank or savings account that they themselves use (%),"
106.*
107",63.5,Sikkim
 Women having a mobile phone that they themselves use (%),"
107.*
108",79.8,Sikkim
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",84.6,Sikkim
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",2.6,Sikkim
 Young women age 18-29 years who experienced sexual violence by age 18,,,Sikkim
 Women who use any kind of tobacco (%),"
109.*
110",7.3,Sikkim
 Men who use any kind of tobacco (%),"
110.*
111",40.3,Sikkim
 Women who consume alcohol (%),"
111.*
112",23.0,Sikkim
 Men who consume alcohol (%),"
112.*
113",51.2,Sikkim
