INDICATORS,NHS4,Total,States
 Women age 20-24 years married before age 18 years (%),"
15.*
16",26.2,Telangana
 Men age 25-29 years married before age 21 years (%),"
16.*
17",17.8,Telangana
 Total fertility rate (children per woman),"
17.*
18",1.8,Telangana
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
18.*
.*
",10.6,Telangana
 Infant mortality rate (IMR),"
19.*
20",28.0,Telangana
 Under five mortality rate (U5MR),"
20.*
",32.0,Telangana
 Any modern method (%),"
22.*
23",57.0,Telangana
 Female sterilization (%),"
23.*
24",54.2,Telangana
 Male sterilization (%),"
24.*
25",1.6,Telangana
 Total unmet need (%),"
28.*
29",7.4,Telangana
 Unmet need for spacing (%),"
29.*
",3.8,Telangana
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
33.*
34",74.9,Telangana
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
40.*
41",4218.0,Telangana
 Institutional births (%),"43.*
44",91.5,Telangana
 Births delivered by caesarean section (%),"
47.*
48",57.7,Telangana
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","50.*
.*
51",67.5,Telangana
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
57.*
.*
58",83.6,Telangana
 Children under age 6 months exclusively breastfed (%),"
66.*
67",67.0,Telangana
 Children under 5 years who are stunted (heightforage),"
71.*
72",28.0,Telangana
 Children under 5 years who are wasted (weightforheight),"
72.*
73",18.1,Telangana
 Children under 3 years who are underweight (%),"
74.*
",28.4,Telangana
 Women who are overweight or obese (%),"
77.*
78",28.6,Telangana
 Men who are overweight or obese (%),"
78.*
",24.2,Telangana
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
81.*
82",48.2,Telangana
 Currently married women who usually participate in three household decisions (%),"
101.*
102",81.0,Telangana
 Women who worked in the last 12 months and were paid in cash (%),"
102.*
103",44.7,Telangana
 Women owning a house and/or land (alone or jointly with others) (%),"
105.*
106",50.3,Telangana
 Women having a bank or savings account that they themselves use (%),"
106.*
107",59.5,Telangana
 Women having a mobile phone that they themselves use (%),"
107.*
108",47.4,Telangana
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
108.*
.*
",76.6,Telangana
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
103.*
104",43.1,Telangana
 Young women age 18-29 years who experienced sexual violence by age 18,,,Telangana
 Women who use any kind of tobacco (%),"
109.*
110",2.8,Telangana
 Men who use any kind of tobacco (%),"
110.*
111",28.2,Telangana
 Women who consume alcohol (%),"
111.*
112",8.7,Telangana
 Men who consume alcohol (%),"
112.*
113",53.8,Telangana
