INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",29.3,Andhra Pradesh
 Men age 25-29 years married before age 21 years (%),"
21.*
22",14.5,Andhra Pradesh
 Total fertility rate (children per woman),"
22.*
23",1.7,Andhra Pradesh
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",12.6,Andhra Pradesh
 Infant mortality rate (IMR),"
26.*
27",30.3,Andhra Pradesh
 Under five mortality rate (U5MR),"
27.*
",35.2,Andhra Pradesh
 Any modern method (%),"
29.*
30",70.8,Andhra Pradesh
 Female sterilization (%),"
30.*
31",69.6,Andhra Pradesh
 Male sterilization (%),"
31.*
32",0.4,Andhra Pradesh
 Total unmet need (%),"
36.*
37",4.7,Andhra Pradesh
 Unmet need for spacing (%),"
37.*
",2.6,Andhra Pradesh
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",67.5,Andhra Pradesh
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3105.0,Andhra Pradesh
 Institutional births (%),"
50.*
51",96.5,Andhra Pradesh
 Births delivered by caesarean section (%),"
51.*
52",50.4,Andhra Pradesh
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",73.0,Andhra Pradesh
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",94.2,Andhra Pradesh
 Children under age 6 months exclusively breastfed (%),"
76.*
77",68.0,Andhra Pradesh
 Children under 5 years who are stunted (heightforage),"
81.*
82",31.2,Andhra Pradesh
 Children under 5 years who are wasted (weightforheight),"
82.*
83",16.1,Andhra Pradesh
 Children under 3 years who are underweight (%),"
84.*
85",29.6,Andhra Pradesh
 Women who are overweight or obese (%),"
88.*
89",36.3,Andhra Pradesh
 Men who are overweight or obese (%),"
89.*
90",31.1,Andhra Pradesh
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",53.7,Andhra Pradesh
 Currently married women who usually participate in three household decisions (%),"
119.*
120",84.1,Andhra Pradesh
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",42.1,Andhra Pradesh
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",47.8,Andhra Pradesh
 Women having a bank or savings account that they themselves use (%),"
122.*
123",81.8,Andhra Pradesh
 Women having a mobile phone that they themselves use (%),"
123.*
124",48.9,Andhra Pradesh
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",85.1,Andhra Pradesh
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",30.0,Andhra Pradesh
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",3.7,Andhra Pradesh
 Women who use any kind of tobacco (%),"
128.*
129",3.8,Andhra Pradesh
 Men who use any kind of tobacco (%),"
129.*
130",22.6,Andhra Pradesh
 Women who consume alcohol (%),"
130.*
131",0.5,Andhra Pradesh
 Men who consume alcohol (%),"
131.*
24",23.3,Andhra Pradesh
