INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",31.8,Assam
 Men age 25-29 years married before age 21 years (%),"
21.*
22",21.8,Assam
 Total fertility rate (children per woman),"
22.*
23",1.9,Assam
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",11.7,Assam
 Infant mortality rate (IMR),"
26.*
27",31.9,Assam
 Under five mortality rate (U5MR),"
27.*
",39.1,Assam
 Any modern method (%),"
29.*
30",45.3,Assam
 Female sterilization (%),"
30.*
31",9.0,Assam
 Male sterilization (%),"
31.*
32",0.1,Assam
 Total unmet need (%),"
36.*
37",11.0,Assam
 Unmet need for spacing (%),"
37.*
",4.1,Assam
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",50.7,Assam
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",5415.0,Assam
 Institutional births (%),"
50.*
51",84.1,Assam
 Births delivered by caesarean section (%),"
51.*
52",74.4,Assam
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",66.4,Assam
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",95.6,Assam
 Children under age 6 months exclusively breastfed (%),"
76.*
77",63.6,Assam
 Children under 5 years who are stunted (heightforage),"
81.*
82",35.3,Assam
 Children under 5 years who are wasted (weightforheight),"
82.*
83",21.7,Assam
 Children under 3 years who are underweight (%),"
84.*
85",32.8,Assam
 Women who are overweight or obese (%),"
88.*
89",15.2,Assam
 Men who are overweight or obese (%),"
89.*
90",16.2,Assam
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",54.2,Assam
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.1,Assam
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",19.0,Assam
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",42.7,Assam
 Women having a bank or savings account that they themselves use (%),"
122.*
123",78.5,Assam
 Women having a mobile phone that they themselves use (%),"
123.*
124",57.2,Assam
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",66.3,Assam
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",32.0,Assam
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",8.0,Assam
 Women who use any kind of tobacco (%),"
128.*
129",22.1,Assam
 Men who use any kind of tobacco (%),"
129.*
130",51.8,Assam
 Women who consume alcohol (%),"
130.*
131",7.3,Assam
 Men who consume alcohol (%),"
131.*
24",25.1,Assam
