INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",5.8,Goa
 Men age 25-29 years married before age 21 years (%),"
21.*
22",8.9,Goa
 Total fertility rate (children per woman),"
22.*
23",1.3,Goa
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",2.8,Goa
 Infant mortality rate (IMR),"
26.*
27",5.6,Goa
 Under five mortality rate (U5MR),"
27.*
",10.6,Goa
 Any modern method (%),"
29.*
30",60.1,Goa
 Female sterilization (%),"
30.*
31",29.9,Goa
 Male sterilization (%),"
31.*
32",0.0,Goa
 Total unmet need (%),"
36.*
37",8.4,Goa
 Unmet need for spacing (%),"
37.*
",4.0,Goa
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",93.0,Goa
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3804.0,Goa
 Institutional births (%),"
50.*
51",99.7,Goa
 Births delivered by caesarean section (%),"
51.*
52",56.2,Goa
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",81.9,Goa
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",92.7,Goa
 Children under age 6 months exclusively breastfed (%),"
76.*
77",61.4,Goa
 Children under 5 years who are stunted (heightforage),"
81.*
82",25.8,Goa
 Children under 5 years who are wasted (weightforheight),"
82.*
83",19.1,Goa
 Children under 3 years who are underweight (%),"
84.*
85",24.0,Goa
 Women who are overweight or obese (%),"
88.*
89",36.1,Goa
 Men who are overweight or obese (%),"
89.*
90",32.6,Goa
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",41.0,Goa
 Currently married women who usually participate in three household decisions (%),"
119.*
120",93.1,Goa
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",31.9,Goa
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",23.2,Goa
 Women having a bank or savings account that they themselves use (%),"
122.*
123",88.3,Goa
 Women having a mobile phone that they themselves use (%),"
123.*
124",91.2,Goa
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",96.8,Goa
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",8.3,Goa
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",4.6,Goa
 Women who use any kind of tobacco (%),"
128.*
129",2.6,Goa
 Men who use any kind of tobacco (%),"
129.*
130",18.2,Goa
 Women who consume alcohol (%),"
130.*
131",5.5,Goa
 Men who consume alcohol (%),"
131.*
24",36.9,Goa
