INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",32.2,Jharkhand
 Men age 25-29 years married before age 21 years (%),"
21.*
22",22.7,Jharkhand
 Total fertility rate (children per woman),"
22.*
23",2.3,Jharkhand
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",9.8,Jharkhand
 Infant mortality rate (IMR),"
26.*
27",37.9,Jharkhand
 Under five mortality rate (U5MR),"
27.*
",45.4,Jharkhand
 Any modern method (%),"
29.*
30",49.5,Jharkhand
 Female sterilization (%),"
30.*
31",37.4,Jharkhand
 Male sterilization (%),"
31.*
32",0.3,Jharkhand
 Total unmet need (%),"
36.*
37",11.5,Jharkhand
 Unmet need for spacing (%),"
37.*
",4.8,Jharkhand
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",38.6,Jharkhand
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2069.0,Jharkhand
 Institutional births (%),"
50.*
51",75.8,Jharkhand
 Births delivered by caesarean section (%),"
51.*
52",56.8,Jharkhand
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",73.9,Jharkhand
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",96.5,Jharkhand
 Children under age 6 months exclusively breastfed (%),"
76.*
77",76.1,Jharkhand
 Children under 5 years who are stunted (heightforage),"
81.*
82",39.6,Jharkhand
 Children under 5 years who are wasted (weightforheight),"
82.*
83",22.4,Jharkhand
 Children under 3 years who are underweight (%),"
84.*
85",39.4,Jharkhand
 Women who are overweight or obese (%),"
88.*
89",11.9,Jharkhand
 Men who are overweight or obese (%),"
89.*
90",15.1,Jharkhand
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",56.8,Jharkhand
 Currently married women who usually participate in three household decisions (%),"
119.*
120",91.0,Jharkhand
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",18.0,Jharkhand
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",64.2,Jharkhand
 Women having a bank or savings account that they themselves use (%),"
122.*
123",79.6,Jharkhand
 Women having a mobile phone that they themselves use (%),"
123.*
124",49.0,Jharkhand
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",74.9,Jharkhand
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",31.5,Jharkhand
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",1.3,Jharkhand
 Women who use any kind of tobacco (%),"
128.*
129",8.4,Jharkhand
 Men who use any kind of tobacco (%),"
129.*
130",47.4,Jharkhand
 Women who consume alcohol (%),"
130.*
131",6.1,Jharkhand
 Men who consume alcohol (%),"
131.*
24",35.0,Jharkhand
