INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",1.3,Lakshadweep
 Men age 25-29 years married before age 21 years (%),"
21.*
22",,Lakshadweep
 Total fertility rate (children per woman),"
22.*
23",1.4,Lakshadweep
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",1.1,Lakshadweep
 Infant mortality rate (IMR),"
26.*
27",0.0,Lakshadweep
 Under five mortality rate (U5MR),"
27.*
",0.0,Lakshadweep
 Any modern method (%),"
29.*
30",30.1,Lakshadweep
 Female sterilization (%),"
30.*
31",20.7,Lakshadweep
 Male sterilization (%),"
31.*
32",0.0,Lakshadweep
 Total unmet need (%),"
36.*
37",12.3,Lakshadweep
 Unmet need for spacing (%),"
37.*
",8.0,Lakshadweep
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",88.3,Lakshadweep
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2533.0,Lakshadweep
 Institutional births (%),"
50.*
51",99.6,Lakshadweep
 Births delivered by caesarean section (%),"
51.*
52",65.3,Lakshadweep
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",86.1,Lakshadweep
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",100.0,Lakshadweep
 Children under age 6 months exclusively breastfed (%),"
76.*
77",67.0,Lakshadweep
 Children under 5 years who are stunted (heightforage),"
81.*
82",32.0,Lakshadweep
 Children under 5 years who are wasted (weightforheight),"
82.*
83",17.4,Lakshadweep
 Children under 3 years who are underweight (%),"
84.*
85",25.8,Lakshadweep
 Women who are overweight or obese (%),"
88.*
89",33.5,Lakshadweep
 Men who are overweight or obese (%),"
89.*
90",41.3,Lakshadweep
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",20.9,Lakshadweep
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.2,Lakshadweep
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",10.9,Lakshadweep
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",30.7,Lakshadweep
 Women having a bank or savings account that they themselves use (%),"
122.*
123",66.9,Lakshadweep
 Women having a mobile phone that they themselves use (%),"
123.*
124",84.0,Lakshadweep
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",98.3,Lakshadweep
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",1.3,Lakshadweep
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.8,Lakshadweep
 Women who use any kind of tobacco (%),"
128.*
129",17.5,Lakshadweep
 Men who use any kind of tobacco (%),"
129.*
130",28.5,Lakshadweep
 Women who consume alcohol (%),"
130.*
131",0.3,Lakshadweep
 Men who consume alcohol (%),"
131.*
24",0.4,Lakshadweep
