INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",16.3,Manipur
 Men age 25-29 years married before age 21 years (%),"
21.*
22",15.3,Manipur
 Total fertility rate (children per woman),"
22.*
23",2.2,Manipur
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",8.6,Manipur
 Infant mortality rate (IMR),"
26.*
27",25.0,Manipur
 Under five mortality rate (U5MR),"
27.*
",30.0,Manipur
 Any modern method (%),"
29.*
30",18.2,Manipur
 Female sterilization (%),"
30.*
31",3.7,Manipur
 Male sterilization (%),"
31.*
32",0.0,Manipur
 Total unmet need (%),"
36.*
37",12.2,Manipur
 Unmet need for spacing (%),"
37.*
",4.7,Manipur
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",79.4,Manipur
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",14518.0,Manipur
 Institutional births (%),"
50.*
51",79.9,Manipur
 Births delivered by caesarean section (%),"
51.*
52",59.4,Manipur
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",68.8,Manipur
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",92.3,Manipur
 Children under age 6 months exclusively breastfed (%),"
76.*
77",70.7,Manipur
 Children under 5 years who are stunted (heightforage),"
81.*
82",23.4,Manipur
 Children under 5 years who are wasted (weightforheight),"
82.*
83",9.9,Manipur
 Children under 3 years who are underweight (%),"
84.*
85",13.3,Manipur
 Women who are overweight or obese (%),"
88.*
89",34.1,Manipur
 Men who are overweight or obese (%),"
89.*
90",30.3,Manipur
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",32.4,Manipur
 Currently married women who usually participate in three household decisions (%),"
119.*
120",94.8,Manipur
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",42.1,Manipur
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",58.4,Manipur
 Women having a bank or savings account that they themselves use (%),"
122.*
123",74.0,Manipur
 Women having a mobile phone that they themselves use (%),"
123.*
124",72.2,Manipur
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",82.9,Manipur
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",39.6,Manipur
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",5.4,Manipur
 Women who use any kind of tobacco (%),"
128.*
129",43.1,Manipur
 Men who use any kind of tobacco (%),"
129.*
130",58.1,Manipur
 Women who consume alcohol (%),"
130.*
131",0.9,Manipur
 Men who consume alcohol (%),"
131.*
24",37.5,Manipur
