INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",9.9,NCT Delhi
 Men age 25-29 years married before age 21 years (%),"
21.*
22",12.0,NCT Delhi
 Total fertility rate (children per woman),"
22.*
23",1.6,NCT Delhi
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",3.3,NCT Delhi
 Infant mortality rate (IMR),"
26.*
27",24.5,NCT Delhi
 Under five mortality rate (U5MR),"
27.*
",30.6,NCT Delhi
 Any modern method (%),"
29.*
30",57.7,NCT Delhi
 Female sterilization (%),"
30.*
31",18.0,NCT Delhi
 Male sterilization (%),"
31.*
32",0.2,NCT Delhi
 Total unmet need (%),"
36.*
37",6.1,NCT Delhi
 Unmet need for spacing (%),"
37.*
",2.0,NCT Delhi
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",77.2,NCT Delhi
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2548.0,NCT Delhi
 Institutional births (%),"
50.*
51",91.8,NCT Delhi
 Births delivered by caesarean section (%),"
51.*
52",62.4,NCT Delhi
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",76.0,NCT Delhi
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",88.7,NCT Delhi
 Children under age 6 months exclusively breastfed (%),"
76.*
77",64.3,NCT Delhi
 Children under 5 years who are stunted (heightforage),"
81.*
82",30.9,NCT Delhi
 Children under 5 years who are wasted (weightforheight),"
82.*
83",11.2,NCT Delhi
 Children under 3 years who are underweight (%),"
84.*
85",21.8,NCT Delhi
 Women who are overweight or obese (%),"
88.*
89",41.3,NCT Delhi
 Men who are overweight or obese (%),"
89.*
90",38.0,NCT Delhi
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",42.2,NCT Delhi
 Currently married women who usually participate in three household decisions (%),"
119.*
120",92.0,NCT Delhi
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",24.9,NCT Delhi
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",22.7,NCT Delhi
 Women having a bank or savings account that they themselves use (%),"
122.*
123",72.5,NCT Delhi
 Women having a mobile phone that they themselves use (%),"
123.*
124",73.8,NCT Delhi
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",96.9,NCT Delhi
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",22.6,NCT Delhi
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",1.6,NCT Delhi
 Women who use any kind of tobacco (%),"
128.*
129",2.2,NCT Delhi
 Men who use any kind of tobacco (%),"
129.*
130",26.3,NCT Delhi
 Women who consume alcohol (%),"
130.*
131",0.5,NCT Delhi
 Men who consume alcohol (%),"
131.*
24",21.6,NCT Delhi
