INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",40.1,Tripura
 Men age 25-29 years married before age 21 years (%),"
21.*
22",20.4,Tripura
 Total fertility rate (children per woman),"
22.*
23",1.7,Tripura
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",21.9,Tripura
 Infant mortality rate (IMR),"
26.*
27",37.6,Tripura
 Under five mortality rate (U5MR),"
27.*
",43.3,Tripura
 Any modern method (%),"
29.*
30",49.1,Tripura
 Female sterilization (%),"
30.*
31",10.5,Tripura
 Male sterilization (%),"
31.*
32",0.0,Tripura
 Total unmet need (%),"
36.*
37",8.2,Tripura
 Unmet need for spacing (%),"
37.*
",2.5,Tripura
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",52.7,Tripura
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",6640.0,Tripura
 Institutional births (%),"
50.*
51",89.2,Tripura
 Births delivered by caesarean section (%),"
51.*
52",78.7,Tripura
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",69.5,Tripura
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",97.3,Tripura
 Children under age 6 months exclusively breastfed (%),"
76.*
77",62.1,Tripura
 Children under 5 years who are stunted (heightforage),"
81.*
82",32.3,Tripura
 Children under 5 years who are wasted (weightforheight),"
82.*
83",18.2,Tripura
 Children under 3 years who are underweight (%),"
84.*
85",25.6,Tripura
 Women who are overweight or obese (%),"
88.*
89",21.5,Tripura
 Men who are overweight or obese (%),"
89.*
90",23.4,Tripura
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",61.5,Tripura
 Currently married women who usually participate in three household decisions (%),"
119.*
120",90.9,Tripura
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",23.1,Tripura
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",17.2,Tripura
 Women having a bank or savings account that they themselves use (%),"
122.*
123",76.9,Tripura
 Women having a mobile phone that they themselves use (%),"
123.*
124",53.1,Tripura
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",68.8,Tripura
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",20.7,Tripura
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",7.0,Tripura
 Women who use any kind of tobacco (%),"
128.*
129",50.4,Tripura
 Men who use any kind of tobacco (%),"
129.*
130",56.9,Tripura
 Women who consume alcohol (%),"
130.*
131",6.2,Tripura
 Men who consume alcohol (%),"
131.*
24",33.1,Tripura
