INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",9.8,Uttarakhand
 Men age 25-29 years married before age 21 years (%),"
21.*
22",16.7,Uttarakhand
 Total fertility rate (children per woman),"
22.*
23",1.9,Uttarakhand
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",2.5,Uttarakhand
 Infant mortality rate (IMR),"
26.*
27",39.1,Uttarakhand
 Under five mortality rate (U5MR),"
27.*
",45.6,Uttarakhand
 Any modern method (%),"
29.*
30",57.8,Uttarakhand
 Female sterilization (%),"
30.*
31",26.0,Uttarakhand
 Male sterilization (%),"
31.*
32",0.7,Uttarakhand
 Total unmet need (%),"
36.*
37",8.8,Uttarakhand
 Unmet need for spacing (%),"
37.*
",3.2,Uttarakhand
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",61.8,Uttarakhand
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",3343.0,Uttarakhand
 Institutional births (%),"
50.*
51",83.2,Uttarakhand
 Births delivered by caesarean section (%),"
51.*
52",53.3,Uttarakhand
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",80.8,Uttarakhand
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",95.3,Uttarakhand
 Children under age 6 months exclusively breastfed (%),"
76.*
77",52.5,Uttarakhand
 Children under 5 years who are stunted (heightforage),"
81.*
82",27.0,Uttarakhand
 Children under 5 years who are wasted (weightforheight),"
82.*
83",13.2,Uttarakhand
 Children under 3 years who are underweight (%),"
84.*
85",21.0,Uttarakhand
 Women who are overweight or obese (%),"
88.*
89",29.7,Uttarakhand
 Men who are overweight or obese (%),"
89.*
90",27.1,Uttarakhand
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",46.4,Uttarakhand
 Currently married women who usually participate in three household decisions (%),"
119.*
120",91.0,Uttarakhand
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",21.6,Uttarakhand
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",24.6,Uttarakhand
 Women having a bank or savings account that they themselves use (%),"
122.*
123",80.2,Uttarakhand
 Women having a mobile phone that they themselves use (%),"
123.*
124",60.9,Uttarakhand
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",91.2,Uttarakhand
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",15.1,Uttarakhand
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",0.3,Uttarakhand
 Women who use any kind of tobacco (%),"
128.*
129",4.6,Uttarakhand
 Men who use any kind of tobacco (%),"
129.*
130",33.7,Uttarakhand
 Women who consume alcohol (%),"
130.*
131",0.3,Uttarakhand
 Men who consume alcohol (%),"
131.*
24",25.5,Uttarakhand
