INDICATORS,NHS5,Total,States
 Women age 20-24 years married before age 18 years (%),"
20.*
21",41.6,West Bengal
 Men age 25-29 years married before age 21 years (%),"
21.*
22",20.0,West Bengal
 Total fertility rate (children per woman),"
22.*
23",1.6,West Bengal
 Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),"
23.*
24",16.4,West Bengal
 Infant mortality rate (IMR),"
26.*
27",22.0,West Bengal
 Under five mortality rate (U5MR),"
27.*
",25.4,West Bengal
 Any modern method (%),"
29.*
30",60.7,West Bengal
 Female sterilization (%),"
30.*
31",29.4,West Bengal
 Male sterilization (%),"
31.*
32",0.1,West Bengal
 Total unmet need (%),"
36.*
37",7.0,West Bengal
 Unmet need for spacing (%),"
37.*
",3.0,West Bengal
 Mothers who had at least 3 antenatal care visits for their last birth (%),"
41.*
42",75.8,West Bengal
 Average outofpocket expenditure per delivery in a public health facility (Rs.),"
47.*
48",2683.0,West Bengal
 Institutional births (%),"
50.*
51",91.7,West Bengal
 Births delivered by caesarean section (%),"
51.*
52",72.4,West Bengal
"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)","
57.*
.*
58",87.8,West Bengal
 'Children age 12-23 months who received most of their vaccinations in a public health facility (%)' ,"
67.*
.*
68",96.3,West Bengal
 Children under age 6 months exclusively breastfed (%),"
76.*
77",53.3,West Bengal
 Children under 5 years who are stunted (heightforage),"
81.*
82",33.8,West Bengal
 Children under 5 years who are wasted (weightforheight),"
82.*
83",20.3,West Bengal
 Children under 3 years who are underweight (%),"
84.*
85",32.2,West Bengal
 Women who are overweight or obese (%),"
88.*
89",22.7,West Bengal
 Men who are overweight or obese (%),"
89.*
90",16.2,West Bengal
 Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),"
94.*
95",62.3,West Bengal
 Currently married women who usually participate in three household decisions (%),"
119.*
120",88.9,West Bengal
 Women who worked in the last 12 months and were paid in cash (%),"
120.*
121",20.2,West Bengal
 Women owning a house and/or land (alone or jointly with others) (%),"
121.*
122",23.2,West Bengal
 Women having a bank or savings account that they themselves use (%),"
122.*
123",76.5,West Bengal
 Women having a mobile phone that they themselves use (%),"
123.*
124",50.1,West Bengal
 Women age 15-24 years who use hygienic methods of protection during their menstrual period,"
124.*
.*
",83.0,West Bengal
 Evermarried women age 18-49 years who have ever experienced spousal violence,"
125.*
126",27.0,West Bengal
 Young women age 18-29 years who experienced sexual violence by age 18,"
127.*
",9.7,West Bengal
 Women who use any kind of tobacco (%),"
128.*
129",10.8,West Bengal
 Men who use any kind of tobacco (%),"
129.*
130",48.1,West Bengal
 Women who consume alcohol (%),"
130.*
131",1.1,West Bengal
 Men who consume alcohol (%),"
131.*
24",18.1,West Bengal
